Source:,https://covid19.healthdata.org/kenya?view=resource-use&tab=trend&resource=all_resources
,
Date,All Beds (Average Estimate)
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0.247725
3/9/2020,0.546548
3/10/2020,0.907026
3/11/2020,1.341756
3/12/2020,1.865732
3/13/2020,2.496745
3/14/2020,3.230346
3/15/2020,4.111594
3/16/2020,5.16859
3/17/2020,6.434251
3/18/2020,7.946986
3/19/2020,9.751385
3/20/2020,11.8988
3/21/2020,14.44751
3/22/2020,17.27541
3/23/2020,20.60007
3/24/2020,24.48526
3/25/2020,28.99198
3/26/2020,34.17353
3/27/2020,40.06957
3/28/2020,46.66379
3/29/2020,53.97602
3/30/2020,61.96195
3/31/2020,70.53797
4/1/2020,79.58007
4/2/2020,88.9263
4/3/2020,98.38449
4/4/2020,107.7446
4/5/2020,116.7955
4/6/2020,125.3398
4/7/2020,133.2058
4/8/2020,140.255
4/9/2020,146.3878
4/10/2020,151.5462
4/11/2020,155.7151
4/12/2020,158.9227
4/13/2020,165.452
4/14/2020,167.0363
4/15/2020,167.9863
4/16/2020,168.4983
4/17/2020,173.8225
4/18/2020,174.1597
4/19/2020,174.7845
4/20/2020,175.9496
4/21/2020,177.8944
4/22/2020,180.8363
4/23/2020,195.3428
4/24/2020,201.1233
4/25/2020,208.4446
4/26/2020,202.9384
4/27/2020,212.7968
4/28/2020,224.1327
4/29/2020,236.8498
4/30/2020,250.8004
5/1/2020,261.6469
5/2/2020,271.8773
5/3/2020,287.6626
5/4/2020,297.3528
5/5/2020,308.1496
5/6/2020,316.5655
5/7/2020,330.8208
5/8/2020,344.9007
5/9/2020,348.095
5/10/2020,359.0003
5/11/2020,378.8993
5/12/2020,377.5844
5/13/2020,384.4228
5/14/2020,403.6794
5/15/2020,408.1061
5/16/2020,411.0268
5/17/2020,413.4374
5/18/2020,417.7583
5/19/2020,426.2313
5/20/2020,423.1796
5/21/2020,431.5415
5/22/2020,426.8407
5/23/2020,429.6176
5/24/2020,432.0453
5/25/2020,436.3686
5/26/2020,441.8859
5/27/2020,449.4585
5/28/2020,451.1079
5/29/2020,461.0535
5/30/2020,475.7058
5/31/2020,469.902
6/1/2020,486.8752
6/2/2020,506.5943
6/3/2020,498.8102
6/4/2020,496.7058
6/5/2020,515.6306
6/6/2020,517.5861
6/7/2020,511.9994
6/8/2020,517.5002
6/9/2020,528.5084
6/10/2020,517.7659
6/11/2020,532.5742
6/12/2020,532.6507
6/13/2020,540.1637
6/14/2020,547.3183
6/15/2020,551.4033
6/16/2020,554.8126
6/17/2020,547.1948
6/18/2020,549.1065
6/19/2020,554.0292
6/20/2020,542.6297
6/21/2020,541.6209
6/22/2020,530.4143
6/23/2020,525.9503
6/24/2020,524.4365
6/25/2020,523.9003
6/26/2020,520.0824
6/27/2020,521.2017
6/28/2020,537.5292
6/29/2020,547.8234
6/30/2020,561.6684
7/1/2020,586.2021
7/2/2020,600.9418
7/3/2020,635.1788
7/4/2020,660.2349
7/5/2020,708.1659
7/6/2020,743.1515
7/7/2020,792.7941
7/8/2020,831.2637
7/9/2020,870.9201
7/10/2020,932.8049
7/11/2020,980.5437
7/12/2020,1045.482
7/13/2020,1104.499
7/14/2020,1164.062
7/15/2020,1221.113
7/16/2020,1287.079
7/17/2020,1381.108
7/18/2020,1450.423
7/19/2020,1546.701
7/20/2020,1603.295
7/21/2020,1705.359
7/22/2020,1752.105
7/23/2020,1763.047
7/24/2020,1726.802
