Source:,https://www.statcompiler.com/en/#,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Survey,By,Characteristic,Assistance during delivery: Doctor,Assistance during delivery: Nurse/midwife,Assistance during delivery: Auxiliary nurse/midwife,Assistance during delivery: Other health worker,Assistance during delivery: Traditional birth attendant,Assistance during delivery: Relative or other,Assistance during delivery: No one,Assistance during delivery from a skilled provider
2018,Five years preceding the survey,North Central,10.4,39.1,1.5,4.3,2.2,37.8,4.7,51
2018,Five years preceding the survey,North East,1.9,21.2,1.7,4.5,16.2,39.4,15,24.8
2018,Five years preceding the survey,North West,1.9,15.3,1.1,1.9,36.2,23.5,20.1,18.2
2018,Five years preceding the survey,South East,13.2,66.3,5.7,4.7,3.4,4.8,1.9,85.2
2018,Five years preceding the survey,South West,32.9,47,5.4,1,7.6,5,1,85.4
2018,Five years preceding the survey,South South,12.7,46.8,5.3,1,29.5,3.4,1.3,64.8
2013,Five years preceding the survey,North Central,12.4,32.2,1.9,6,3.6,35.4,6.5,46.5
2013,Five years preceding the survey,North East,3.3,14.3,2.3,3.9,26,39,9.7,19.9
2013,Five years preceding the survey,North West,3.5,8.5,0.3,0.8,34,23.6,27.8,12.3
2013,Five years preceding the survey,South East,13.7,60,8.5,2.1,7.4,5.1,1.5,82.2
2013,Five years preceding the survey,South West,30.4,44.9,7.2,1.2,7.4,7.1,1.3,82.5
2013,Five years preceding the survey,South South,13.7,37.6,4,2,29.7,9.6,1.8,55.4
2008,Five years preceding the survey,North Central,9.9,26.7,6.1,,9.5,36.1,10.2,42.7
2008,Five years preceding the survey,North East,1.4,11.7,2.4,,33.6,31,18.6,15.5
2008,Five years preceding the survey,North West,2.3,6.6,0.9,,25.9,18.5,43.8,9.8
2008,Five years preceding the survey,South East,12.2,53.2,16.5,,8.4,5.5,3,81.8
2008,Five years preceding the survey,South West,25,46.5,5,,10.2,9.3,3.2,76.5
2008,Five years preceding the survey,South South,12.3,38.5,5,,32.9,7.6,3.1,55.8
2003,Five years preceding the survey,North Central,9.6,38.4,0.7,1.5,6.1,34.7,9,48.6
2003,Five years preceding the survey,North East,2.4,16.7,0.7,2.2,25.4,31.7,19.8,19.8
2003,Five years preceding the survey,North West,0.8,11.5,0,0.7,24.3,31,30.5,12.3
2003,Five years preceding the survey,South East,20.2,65.2,2,0.2,3,6.2,0.4,87.4
2003,Five years preceding the survey,South West,23.9,52.5,4.5,0.7,9,8.4,0.9,80.9
2003,Five years preceding the survey,South South,8.6,45.8,1.2,0.2,32.2,9.8,1.8,55.6
1990,Five years preceding the survey,Northeast - 1990,7.3,3.7,0.1,3.3,23.4,27.9,33.5,11.1
1990,Five years preceding the survey,Northwest - 1990,5,5,0.2,2.4,21.3,20,45.9,10.2
1990,Five years preceding the survey,Southeast - 1990,10.4,34.8,1.8,8.4,21.3,15.1,7.4,47.1
1990,Five years preceding the survey,Southwest - 1990,21.8,41.4,3.2,3.3,8.3,11.1,10,66.5
