Source: ,"National Blood Service Ghana, 2021"
,
This dataset contains information on blood donation statistics in Ghana as of 2021.,
,
,Statistics
Voluntary Blood Donation Rate,"2 out of every 1,000 people donate voluntarily"
Majority of Donors,Students
Blood Donation Target,"300,000 pints annually"
Percentage of Target Met,50%
Blood from Voluntary Donors,37% of total collected blood
Voluntary Blood Donation (Jan - Sept 2020),"46,446 units"
Voluntary Blood Donation (Jan - Sept 2021),"20,841 units"
Total Blood Collected During COVID-19,"114,709 pints"
