Source:,https://www.afro.who.int/sites/default/files/2017-06/status-of-blood-safety-in-the-who-african-region.pdf,
,,
Country,Donation Rate (Units per 1000 inhibitants),West Africa
Algeria,11.9,
Benin,6.6,1
Botswana,10.0,
Burkina Faso,3.7,1
Burundi,4.4,
Cameroon,2.7,
CapeVerde,5.6,1
Central African Republic,2.5,
Chad,2.7,
Comoros,3.7,
Congo,10.1,
Côte d'Ivoire,4.5,1
DRC,4.7,
Eritrea,2.8,
Ethiopia,0.6,
Gabon,8.4,
Gambia,7.2,1
Ghana,5.4,1
Guinea,2.4,1
Guinea Equatorial,0.9,
Guinea-Bissau,2.7,1
Kenya,3.5,
Lesotho,2.1,
Madagascar,1.2,
Malawi,5.5,
Mali,3.1,1
Mauritania,2.5,1
Mauritius,33.8,
Mozambique,4.7,
Namibia,9.6,
Niger,3.5,1
Nigeria*,0.2,1
Rwanda,3.6,
Sao Tome and Principe,2.5,
Senegal,4.5,1
Sierra Leone,5.2,1
South Africa,18.6,
Swaziland,8.4,
Tanzania,2.7,
Togo,5.9,1
Uganda,6.0,
WHO Benchmark (1% of 1000),10.0,0
Zambia,6.8,
Zimbabwe,5.1,
