Source: ,"Media Reports, 2020",
,,
This dataset contains information on the timeline of all the COVID-19 restrictions that were implemented that affected sex workers in Kenya in 2020.,,
,,
Source,Date,Some restrictions that have affected CSW
1a,15/3/2020,"suspended learning in all our education institutions with immediate effect. Consequently, and to facilitate a phased approach, primary and secondary day schools are to suspend operations from tomorrow.
For those in boarding schools, the school administration is to ensure that students are home by Wednesday, 18th March 2020 while Universities and Tertiary Institutions are to close by Friday, 20th March 2020
Citizens were encouraged to avoid crowded places including shopping malls and entertainment premises"
(Additional Source),23/3/2020,All bars to close at 7.30pm
2,25/3/2020,"Curfew from 7:00 P.M. to 5:00 A.M., in the entire territory of the Republic of Kenya from 27/3/2020"
Source,22/3/2020,"Bars are closed
Restaurants open for takeout only"
Source,27/4/2020,"Restaurants reopen under strict measures:
 operate between 5am and 4pm

Restaurants will be allowed to sell alcohol to customers, on condition it is sold with a meal or to customers waiting to be served a meal or during a meal

tables must be placed 1.5 meters apart and self-service will not be allowed"
4,1/5/2020,"That the hours of curfew in the Zoned Area (Nairobi, Machakos, Kiambu, Kajiado and Nakuru) are revised to commence at 10:00pm and end at 4:00am, with effect from mid-night on this 1st day of May, 2021,"
Source,6/6/2020,"The nationwide dusk-to-dawn curfew was extended for a further 30 days. However, the commencement time for the same is varied from 7:00 p.m. to 9:00 p.m; with the end time for the same being varied from 5:00 a.m. to 4:00 a.m."
Source,6/7/2020,The closing time for restaurants and eateries has been amended from 8pm to 7pm
Source,26/8/2020,"Closing time for restaurants and eateries is hereby varied by one hour from 7pm to 8pm, effective 27th August, 2020."
Source,28/9/2020,"the commencement time for the Nationwide Curfew is varied effective 29th September, 2020. It will run from 11:00 O’clock at night to 4:00 O’clock in the morning.
Bars reopen with effect from 29th September, 2020
Closing time for all bars and restaurants and eateries shall be 10pm every day with effect from 29th September, 2020."
Source,12/10/2020,"Grade 4, form 4 and class 8 students reopened schools"
Source,4/11/2020,"beginning tonight 4th November, the curfew will now be enforced between 10.00 pm and 04.00 am.
In consequence of the variation of the 10.00 pm curfew, all bars, restaurants, and other establishments open to the public must now close by 9.00 pm."
Source,4/1/2021,Schools reopen
Source,26/3/2021,"That the hours of the ongoing nationwide curfew are
revised to commence at 8:00pm and end at 4:00am
in the Zoned Area comprising the Counties of
Nairobi, Machakos, Kajiado, Kiambu and
Nakuru. In that regard, the rest of the country will
observe curfew between 10:00 p.m. and 4:00 a.m.
daily, effective tomorrow, Saturday, 27th day of
March, 2021

With respect to Education in Kenya, there shall be the
immediate suspension of all on-going physical
learning in all our education institutions
commencing Midnight on Friday, 26th March, 202, operations of bars is suspended in the Counties of Nairobi, Machakos, Kajiado, Kiambu and Nakuru.

All restaurants and eateries in the Counties of
Nairobi, Machakos, Kajiado, Kiambu and
Nakuru shall provide takeaway services only;"
Source,17/6/2021,"The government has revised curfew hours for 13 counties in the Western region from 10pm to 7pm.
The counties are; Busia, Vihiga, Kisii, Nyamira, Kakamega, Kericho, Bomet, Bungoma, Trans Nzoia, Kisumu, Siaya, Homa Bay and Migori."
