Source:,https://www.who.int/news-room/feature-stories/detail/the-sinopharm-covid-19-vaccine-what-you-need-to-know,
,https://www.who.int/news-room/feature-stories/detail/the-oxford-astrazeneca-covid-19-vaccine-what-you-need-to-know,
,https://www.who.int/news-room/feature-stories/detail/who-can-take-the-pfizer-biontech-covid-19--vaccine-what-you-need-to-know,
,https://www.who.int/news-room/feature-stories/detail/the-moderna-covid-19-mrna-1273-vaccine-what-you-need-to-know,
,https://www.who.int/news-room/feature-stories/detail/the-j-j-covid-19-vaccine-what-you-need-to-know,
,,
,,
,,
,,
,,
,,
Vaccine,No. of Doses,Efficacy against Sympomatic COVID
Moderna,2,94%
Pfizer/BioNTech,2,95%
Janssen (Johnson & Johnson),1,67%
Oxford/AstraZeneca,2,76%
Sinopharm (Beijing),2,79%
