Source:,https://www.comitglobal.org/vaccines/matrix/pregnancy,,,,,,,,,
,,,,,,,,,,
"Most recent policy positions by country, by vaccine for pregnancy",,,,,,,,,,
,,,,,,,,,,
Country,(No vaccine product specified),Pfizer/BioNTech Comirnaty,Moderna COVID-19 vaccine,"Oxford-AstraZeneca Vaxzevria, Covishield",Johnson & Johnson Janssen COVID-19 vaccine,Sinovac CoronaVac,Gamaleya Sputnik V,Sinopharm BIBP-CorV,CanSino Biologics Convidecia,Bharat Biotech Covaxin
Angola,Not Recommended,,,,,,,,,
Benin,No Position Found,,,,,,,,,
Botswana,,,,,,,,,,
Burkina Faso,,,   ,,,,,,,
Burundi,,,,,,,,,,
Cabo Verde,,Not Recommended,,Not Recommended,,,,,,
Cameroon,,,,,,,,,,
Central African Republic,,,,,,,,,,
Chad,,,,,,,,,,
Comoros,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,
"Congo, Rep.",,,,,,,,,,
Cote d'Ivoire,Not Recommended,,,,,,,,,
Equatorial Guinea,No Position Found,,,,,,,,,
Eritrea,,,,,,,,,,
Eswatini,No Position Found,,,,,,,,,
Ethiopia,,,,,,,,,,
Gabon,,,,,,,,,,
"Gambia, The",,,,,,,,,,
Ghana,,,,,,,,,,
Guinea,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,
Kenya,Not Recommended,Permitted with Qualification,Permitted with Qualification,Permitted with Qualification,Permitted with Qualification,,,Permitted with Qualification,,
Lesotho,,,,,,,,,,
Liberia,Permitted with Qualification,,,,Permitted,,,,,
Madagascar,,,,,,,,,,
Malawi,,,,,,,,,,
Mali,,,,,,,,,,
Mauritania,,,,,,,,,,
Mauritius,,,Not Recommended,,,,,,,Not Recommended
Mozambique,Not Recommended,,,,,,,,,
Namibia,Permitted,,,,,,,,,
Niger,,,,,,,,,,
Nigeria,Not Recommended but with Exceptions,,,,,,,,,
Rwanda,,Permitted,,,,,,,,
Sao Tome and Principe,,,,,,,,,,
Senegal,Permitted,,,,,,,No Position Found,,
Seychelles,,,,,,,,Not Recommended,,
Sierra Leone,Not Recommended,,,,,,,,,
Somalia,,,,,,,,,,
South Africa,Recommended for some or all,,,,Permitted with Qualification,,,,,
South Sudan,,,,,,,,,,
Sudan,No Position Found,,,,,,,,,
Tanzania,No Position Found,,,,,,,,,
Togo,,,,,,,,,,
Uganda,,,,,,,,,,
Zambia,No Position Found,,,Permitted,,,,Permitted,,
Zimbabwe,No Position Found,,,,,,,,,
