Source:,,https://nextstrain.org/ncov/africa?c=pango_lineage&f_country=Kenya,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Variants Present in Kenya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Variant,Name,5/7/2020,12/7/20,3/8/20,5/9/20,5/10/20,7/11/2020,6/12/20,4/1/21,6/2/21,7/3/21,5/4/21,5/5/21,6/6/21
B.1,,70%,71%,73%,85%,64%,47%,52%,27%,5%,2%,1%,1%,2%
B.1.1,,17%,16%,13%,5%,,,,,,,,,
B.1.1.1,,7%,7%,4%,,,,,,,,,,
B.1.558,,4%,4%,5%,,,,,,,,,,
N.8,,2%,2%,5%,5%,,,6%,4%,,,,,
B.1.263,,,,,,3%,6%,,,,,,,
B.1.549,,,,,2%,27%,22%,8%,1%,,,,,
B.1.596.1,,,,,,,9%,6%,,,,,,
B.1.530,,,,,,2%,13%,20%,20%,5%,2%,,,
B.1.351,Beta,,,,,,,,14%,44%,34%,23%,20%,16%
B.1.617.2,,,,,,,,,,,,,,
B.1.1.7,Alpha,,,,,,,1%,14%,30%,51%,62%,58%,62%
A.23,,,,,,,,,3%,,,,,
A.23.1,,,,,,,,,16%,12%,5%,3%,,
B.1.610,,,,,,,,,,1%,,,,
B.1.525,,,,,,,,,,2%,2%,,,
B.1.610,,,,,,,,,,,1%,,,
B.1.617.2,Delta,,,,,,,,,,1%,7%,14%,18%
B.1.617.1,,,,,,,,,,,,2%,3%,1%
P1,Gamma,,,,,,,,,,,,,
