Source:,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30308-9/fulltext,,
,,,
,,,
,Deaths averted by vaccination,Excess COVID-19 deaths,Benefit-risk ratio
Diphtheria,12944,5674,2
Tetanus,69254,5674,12
Pertussis,271422,5674,48
Hepatitis B,3827,5677,1
Haemophilus influenzae type b,54840,5696,10
Streptococcus pneumoniae,46494,5052,9
Rotavirus,10666,2391,4
Measles (MCV1),194388,1896,103
Rubella (RCV1),1147,744,2
Neisseria meningitidis serogroup A,460,280,2
Yellow fever,23345,875,27
Measles (MCV2; EPI-3),10282,751,14
EPI-1*,471068,5696,82
EPI-2,219726,1896,116
EP,701828,8341,84
