Source:,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30308-9/fulltext,,
,,,
,,,
,Deaths averted by vaccination,Excess COVID-19 Deaths,Benefit-risk ratio
Algeria,18164,268,69
Angola,26156,146,180
Benin,7285,78,95
Botswana,989,15,70
Burkina Faso,14103,180,80
Burundi,8640,79,110
Cameroon,13031,176,75
Cape Verde,148,3,52
Central African Republic,2353,20,119
Chad,9016,98,94
Comoros,420,7,58
Congo (Brazzaville),3370,21,160
Cote d'Ivoire,19401,194,102
Democratic Republic of the Congo,61538,563,111
Djibouti,273,5,58
Egypt,24593,412,60
Equatorial Guinea,360,4,83
Eritrea,2103,29,74
Eswatini,346,9,38
Ethiopia,60854,866,73
Gabon,866,8,105
Gambia,2208,39,58
Ghana,18589,219,86
Guinea,9307,121,78
Guinea-Bissau,1355,12,113
Kenya,20030,241,86
Lesotho,829,15,57
Liberia,3965,34,118
Libya,2323,34,70
Madagascar,14293,136,107
Malawi,8923,131,69
Mali,13302,144,94
Mauritania,2720,30,91
Mauritius,260,4,71
Morocco,7273,221,34
Mozambique,20206,208,98
Namibia,1179,19,63
Niger,21835,262,85
Nigeria,89167,942,96
Rwanda,8061,87,94
Sao Tome & Principe,120,1,91
Senegal,11306,250,46
Seychelles,34,0,74
Sierra Leone,6891,86,81
Somalia,9697,102,96
South Africa,18844,310,62
South Sudan,3176,34,93
Sudan,22338,334,68
Tanzania,36630,584,64
Togo,4933,56,90
Tunisia,1854,54,35
Uganda,20906,246,87
Zambia,11042,121,93
Zimbabwe,7759,94,83
