Source:,https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Ghana%20COVID-19%20Situation%20Report%20No.%208%20-%2016-31%20July%202020.pdf,,
,,,
,,,
,Cummulative Children (Below 18 years) Tested Positive,% Female,% Children under 5
20-Jul-20,1186,51%,10.50%
1st to 15 July,13 teaching staff and students,,
,,,
,,,
,,,
,,,
Source:,https://www.unicef.org/appeals/files/UNICEF_Ghana_COVID19_Situation_Report_No_6__16_30_June_2020.pdf,,
,Number that Returned to School as at 29/6/2020,,
Junior Highschool Students,"  532,000 ",,
Teaching & Non-Teaching Staff,"  218,000 ",,
