Year,Percentage,DataProcess
1990,8.50%,Estimate
1991,9.10%,Estimate
1992,9.80%,Estimate
1993,10.50%,Estimate
1994,11.10%,Estimate
1995,11.60%,Estimate
1996,12.10%,Estimate
1997,12.40%,Estimate
1998,12.70%,Estimate
1999,13.00%,Estimate
2000,13.20%,Estimate
2001,13.30%,Estimate
2002,13.50%,Estimate
2003,13.70%,Estimate
2004,14.10%,Estimate
2005,14.40%,Estimate
2006,14.80%,Estimate
2007,15.20%,Estimate
2008,15.40%,Estimate
2009,15.60%,Estimate
2010,15.60%,Estimate
2011,15.50%,Estimate
2012,15.20%,Estimate
2013,15.00%,Estimate
2014,15.00%,Estimate
2015,15.20%,Estimate
2016,15.40%,Estimate
2017,15.60%,Estimate
2018,16.00%,Estimate
2019,16.40%,Projection
2020,16.90%,Projection
2021,17.40%,Projection
2022,17.90%,Projection
2023,18.40%,Projection
2024,18.90%,Projection
2025,19.40%,Projection
2026,19.90%,Projection
2027,20.40%,Projection
2028,20.90%,Projection
2029,21.50%,Projection
2030,22.00%,Projection
