Source:,https://ourworldindata.org/coronavirus/country/kenya?country=~KEN
,
date,new_cases
2020-03-13,1
2020-03-14,0
2020-03-15,2
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,4
2020-03-20,0
2020-03-21,0
2020-03-22,8
2020-03-23,1
2020-03-24,9
2020-03-25,3
2020-03-26,3
2020-03-27,0
2020-03-28,7
2020-03-29,4
2020-03-30,8
2020-03-31,9
2020-04-01,22
2020-04-02,29
2020-04-03,12
2020-04-04,4
2020-04-05,16
2020-04-06,16
2020-04-07,14
2020-04-08,7
2020-04-09,5
2020-04-10,5
2020-04-11,2
2020-04-12,6
2020-04-13,11
2020-04-14,8
2020-04-15,9
2020-04-16,9
2020-04-17,12
2020-04-18,16
2020-04-19,8
2020-04-20,11
2020-04-21,15
2020-04-22,7
2020-04-23,17
2020-04-24,16
2020-04-25,7
2020-04-26,12
2020-04-27,8
2020-04-28,11
2020-04-29,10
2020-04-30,12
2020-05-01,15
2020-05-02,24
2020-05-03,30
2020-05-04,25
2020-05-05,45
2020-05-06,47
2020-05-07,25
2020-05-08,14
2020-05-09,28
2020-05-10,23
2020-05-11,28
2020-05-12,15
2020-05-13,22
2020-05-14,21
2020-05-15,23
2020-05-16,49
2020-05-17,57
2020-05-18,25
2020-05-19,51
2020-05-20,66
2020-05-21,80
2020-05-22,52
2020-05-23,31
2020-05-24,22
2020-05-25,72
2020-05-26,62
2020-05-27,123
2020-05-28,147
2020-05-29,127
2020-05-30,143
2020-05-31,74
2020-06-01,59
2020-06-02,72
2020-06-03,123
2020-06-04,124
2020-06-05,134
2020-06-06,126
2020-06-07,167
2020-06-08,105
2020-06-09,117
2020-06-10,105
2020-06-11,121
2020-06-12,90
2020-06-13,152
2020-06-14,137
2020-06-15,133
2020-06-16,133
2020-06-17,184
2020-06-18,213
2020-06-19,117
2020-06-20,104
2020-06-21,260
2020-06-22,59
2020-06-23,155
2020-06-24,254
2020-06-25,178
2020-06-26,149
2020-06-27,278
2020-06-28,259
2020-06-29,120
2020-06-30,176
2020-07-01,307
2020-07-02,268
2020-07-03,247
2020-07-04,389
2020-07-05,309
2020-07-06,181
2020-07-07,183
2020-07-08,278
2020-07-09,447
2020-07-10,473
2020-07-11,278
2020-07-12,379
2020-07-13,189
2020-07-14,497
2020-07-15,461
2020-07-16,421
2020-07-17,389
2020-07-18,688
2020-07-19,603
2020-07-20,418
2020-07-21,397
2020-07-22,637
2020-07-23,796
2020-07-24,667
2020-07-25,375
2020-07-26,960
2020-07-27,372
2020-07-28,606
2020-07-29,544
2020-07-30,788
2020-07-31,723
2020-08-01,727
2020-08-02,690
2020-08-03,544
2020-08-04,605
2020-08-05,671
2020-08-06,538
2020-08-07,727
2020-08-08,699
2020-08-09,599
2020-08-10,492
2020-08-11,497
2020-08-12,679
2020-08-13,650
2020-08-14,580
2020-08-15,515
2020-08-16,271
2020-08-17,245
2020-08-18,271
2020-08-19,379
2020-08-20,426
2020-08-21,322
2020-08-22,355
2020-08-23,246
2020-08-24,193
2020-08-25,246
2020-08-26,213
2020-08-27,373
2020-08-28,241
2020-08-29,164
2020-08-30,263
2020-08-31,144
2020-09-01,114
2020-09-02,178
2020-09-03,212
2020-09-04,179
2020-09-05,136
2020-09-06,83
2020-09-07,102
2020-09-08,151
2020-09-09,104
2020-09-10,143
2020-09-11,190
2020-09-12,176
2020-09-13,188
2020-09-14,48
2020-09-15,96
2020-09-16,0
2020-09-17,275
2020-09-18,148
2020-09-19,105
2020-09-20,152
2020-09-21,98
2020-09-22,139
2020-09-23,130
2020-09-24,141
2020-09-25,218
2020-09-26,164
2020-09-27,244
2020-09-28,53
2020-09-29,210
2020-09-30,151
2020-10-01,184
2020-10-02,210
2020-10-03,261
2020-10-04,243
2020-10-05,22
2020-10-06,137
2020-10-07,321
2020-10-08,271
2020-10-09,442
2020-10-10,538
2020-10-11,388
2020-10-12,73
2020-10-13,318
2020-10-14,604
2020-10-15,602
2020-10-16,437
2020-10-17,616
2020-10-18,685
2020-10-19,195
2020-10-20,571
2020-10-21,497
2020-10-22,1068
2020-10-23,631
2020-10-24,947
2020-10-25,931
2020-10-26,276
2020-10-27,836
2020-10-28,1018
2020-10-29,761
2020-10-30,1185
2020-10-31,1395
2020-11-01,685
2020-11-02,724
2020-11-03,492
2020-11-04,1494
2020-11-05,1008
2020-11-06,1109
2020-11-07,1065
2020-11-08,719
2020-11-09,756
2020-11-10,1344
2020-11-11,1216
2020-11-12,919
2020-11-13,1470
2020-11-14,1080
2020-11-15,972
2020-11-16,559
2020-11-17,925
2020-11-18,957
2020-11-19,1459
2020-11-20,1048
2020-11-21,1211
2020-11-22,968
2020-11-23,413
2020-11-24,727
2020-11-25,810
2020-11-26,780
2020-11-27,1554
2020-11-28,949
2020-11-29,711
2020-11-30,302
2020-12-01,551
2020-12-02,961
2020-12-03,1253
2020-12-04,866
2020-12-05,735
2020-12-06,396
2020-12-07,199
2020-12-08,521
2020-12-09,561
2020-12-10,644
2020-12-11,673
2020-12-12,548
2020-12-13,366
2020-12-14,163
2020-12-15,404
2020-12-16,394
2020-12-17,552
2020-12-18,356
2020-12-19,390
2020-12-20,349
2020-12-21,114
2020-12-22,154
