SOURCE:,https://www.who.int/healthinfo/global_burden_disease/estimates/en/index1.html
,
Noncommunicable diseases,"Estimated deaths ('000) by cause, sex"
Malignant neoplasms (Cancers),10.1
Diabetes mellitus,4.9
"Endocrine, blood, immune disorders",2.8
Mental and substance use disorders,0.6
Neurological conditions,3
Cardiovascular diseases,37.8
Respiratory diseases,4.3
Digestive diseases,10.1
Genitourinary diseases,3.4
Skin diseases,0.6
Musculoskeletal diseases,0.2
Congenital anomalies,4.2
Sudden infant death syndrome,0.1
