Source:,https://www.uptodate.com/contents/image?imageKey=ID%2F130711,,,,,,
,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7839932/,,,,,,
,Efficacy against COVID,,,,,,
,Pfizer,,,,,,
,Moderna,,,,,,
,AstraZeneca,,,,,,
,Janssen,,,,,,
,Novavax,,,,,,
,Sputnik,,,,,,
,,,,,,,
Manufacturer,Platform,Doses and intended interval,Efficacy against symptomatic COVID-19*,Rate of severe COVID-19,Storage requirements,Common side effects,Rare adverse effects
Pfizer/BioNTech,mRNA,2 doses 3 weeks apart,95%,"1 in vaccine group (n≈18,000)
9 in placebo group (n≈18,000)",Ultracold freezer (–80 to –60°C)then freezer (–25 to –15°C) for up to 2 weeks cumulative time then refrigerated (2 to 8°C) for up to 5 days,"Local injection site reactions 
Systemic symptoms (fevers, chills, fatigue, myalgias, headache)",Anaphylaxis (approximately 5 per million)
Moderna,mRNA,2 doses 4 weeks apart,94%,"0 in vaccine group (n≈14,000)
30 in placebo group (n≈14,000)",Freezer (–25 to –15°C) then refrigerated (2 to 8°C) for up to 30 days,"Local injection site reactions 
Systemic symptoms (fevers, chills, fatigue, myalgias, headache)",Anaphylaxis (approximately 2.8 per million)
AstraZeneca/University of Oxford/Serum Institute of India,Recombinant chimpanzee adenovirus (nonreplicating),2 doses 4 to 12 weeks apart,70%,"0 in vaccine group (n≈6000)
2 in placebo group (n≈6000)",Refrigerated (2 to 8°C),"Local injection site reactions 
Systemic symptoms (fevers, chills, fatigue, myalgias, headache)","Very rare thrombotic complications associated with thrombocytopenia:
Cerebral venous sinus thrombosis (169 of ≈ 34 million)
Splanchnic vein thrombosis (54 of ≈ 34 million)"
Janssen/Johnson & Johnson,Recombinant human adenovirus 26 (non-replicating),1 dose,67%,85% efficacy against severe COVID-19Δ,Refrigerated (2 to 8°C),"Local injection site reactions 
Systemic symptoms (fevers, chills, fatigue, myalgias, headache)","Very rare thrombotic complications associated with thrombocytopenia: 
For females 30-39 years old: 12.4 cases/million
For females 40-49 years old: 9.4 cases/million
For females in other age ranges and males: 1.3 to 4.7 cases/million"
Novavax,Recombinant protein,2 doses 3 weeks apart,89%Δ,"0 in vaccine group; 1 in placebo group (n≈15,000 total)Δ",Refrigerated (2 to 8°C),"Local injection site reactions 
Systemic symptoms (fevers, chills, fatigue, myalgias, headache)",Unknown
Gamaleya Institute [Sputnik V],Replication-incompetent adenovirus 26 and adenovirus 5 vectors,2 doses 3 weeks apart,92%,"0 in vaccine group (n≈15,000)
20 in placebo group (n≈5000)","Liquid form: Freezer (–18°C)
Freeze-dried form: Refrigerated (2 to 8°C)◊","Local injection site reactions 
Systemic symptoms (fevers, chills, fatigue, myalgias, headache)",Unknown
,,,,,,,
Note:,,,,,,,
Δ These data have not yet been published.,,,,,,,
