"Source: Office of the Auditor-General, 2022",,,
"This dataset contains information on the amount of money allocated to the sanitary towel programme, launched by Ministry of education. ( The budget for the financial year 2017/2018 and 2018/2019 was through the Ministry of Public Servive, Gender and Youth Affiars.)",,,
,,,
Financial Year,Amount Received (Kshs.),Expenditure (Kshs.),Number of Girls who have Benefited from the Programme
2021/2022,"270,408,000","268,578,871","898,379"
2020/2021,"470,408,000","470,408,000","1,675,679"
2019/2020,"375,000,000","375,000,000","1,359,008"
2017/2018 & 2018/2019*,"470,000,000","470,000,000","3,703,452"
2016/2017,"400,000,000","400,000,000","1,403,453"
2015/2016,"400,000,000","400,000,000","700,000"
2014/2015,"400,000,000","400,000,000","1,143,548"
2013/2014,"201,000,000","201,000,000","665,251"
2012/2013,"300,000,000","300,000,000","568,925"
2011/2012,"200,000,000","200,000,000","443,858"
Total,"3,486,816,000","3,484,986,871","12,561,553"
