Source:,"Kenya Ministry of Health, 2024"
Link:,https://drive.google.com/file/d/1_X8kWUamEAkGLPqjcd2o5ATBaAzNRIZf/view
,
This dataset contains information on the facility maternal mortality ratio in Kenya per county 2020/2021.,
,
County,Facility Maternal Mortality Ratio
Mombasa,230
Kisumu,228
Isiolo,217
Garissa,212
Nairobi,170
Kwale,202
Wajir,182
Taita Taveta,145
Turkana,125
Busia,143
Bungoma,93
Laikipia,142
Tharaka Nithi,120
Kericho,124
Machakos,108
Narok,144
Trans Nzoia,56
Tana River,117
Kajiado,108
Vihiga,83
Meru,103
Siaya,97
Mandera,124
Makueni,104
Nyeri,83
Kiambu,76
Embu,95
Nyandarua,111
Migori,110
Samburu,120
West Pokot,85
Kisii,72
Kakamega,78
Kilifi,106
Baringo,28
Uasin Gishu,70
Bomet,74
Homa Bay,64
Nyamira,41
Elgeyo Marakwet,34
Nandi,27
Marsabit,131
Murang'a,119
Lamu,109
Nakuru,104
Kitui,75
Kirinyaga,56
