Source:,"Global Health: Science and Practice, 2018",,,,,,,,,
Link:,https://pmc.ncbi.nlm.nih.gov/articles/PMC5878070/,,,,,,,,,
,,,,,,,,,,
"This dataset contains information on Comparison of Gains in mCPR and Method-Specific CPR for Implants, Injectables, IUDs, and Pills, Married Women, 2008–2017",,,,,,,,,,
,,,,,,,,,,
Country and Data Source,mCPR (%),Total Gain in mCPR (pp),Implant CPR (%),Total Gain in Implant CPR (pp),Injectable CPR (%),Total Gain in Injectable CPR (pp),IUD CPR (%),Total Gain in IUD CPR (pp),Pill CPR (%),Total Gain in Pill CPR (pp)
Kenya PMA R5 2016,59.9,20.5,18.1,16.2,27.6,6,3.5,1.9,5.1,−2.1
Kenya DHS 2008–09,39.4,,1.9,,21.6,,1.6,,7.2,
Burkina Faso PMA R4 2016,24.6,9.6,11.8,8.4,8.2a,2,0.9,0.6,2.8,−0.4
Burkina Faso DHS 2010,15,,3.4,,6.2,,0.3,,3.2,
Malawi DHS 2015-16,58.1,15.9,11.5,10.2,30,4.2,1.1,0.8,2.4,−0.1
Malawi DHS 2010,42.2,,1.3,,25.8,,0.3,,2.5,
Zimbabwe DHS 2015,65.8,8.5,9.6,6.9,9.6,1.3,0.6,0.4,40.9,−0.4
Zimbabwe DHS 2010–11,57.3,,2.7,,8.3,,0.2,,41.3,
Ethiopia PMA R5 2017,35.2,7.9,8.3,4.9,24.1,3.3,1.2,0.9,1.8,−0.3
Ethiopia DHS 2011,27.3,,3.4,,20.8,,0.3,,2.1,
Senegal DHS 2016,23.1,11,7.1,6,8.2,3,1.6,1,4.6,0.5
Senegal DHS 2010–11,12.1,,1.1,,5.2,,0.6,,4.1,
Uganda PMA R5 2017,33.9,7.9,7.1,4.4,17.6 a,3.5,0.9,0.4,2.7,−0.2
Uganda DHS 2011,26,,2.7,,14.1,,0.5,,2.9,
DRC/K PMA R5 2016,23.4,4.4,6.7,4.3,3.1 a,−0.3,1,0.5,3.7,0.7
DRC/K DHS 2013–14,19,,2.4,,3.4,,0.5,,3,
Tanzania DHS 2015–16,32,4.6,6.7,4.4,12.6,2,0.9,0.3,5.5,−1.2
Tanzania DHS 2010,27.4,,2.3,,10.6,,0.6,,6.7,
Ghana PMA R5 2016,25.8,9.2,5.9,5,8.4,2.2,0.5,0.3,4.5,−0.2
Ghana DHS 2008,16.6,,0.9,,6.2,,0.2,,4.7,
Nigeria PMA R2 2017,16.1,6.3,3,2.6,4.5,1.3,1,−0.1,2.5,0.7
Nigeria DHS 2013,9.8,,0.4,,3.2,,1.1,,1.8,
Niger PMA R1 2016,14.4,2.2,1.7,1.4,5,2.9,0.4,0.3,6.8,1.2
Niger DHS 2012,12.2,,0.3,,2.1,,0.1,,5.6,
,,,,,,,,,,
"Abbreviations: CPR, contraceptive prevalence rate; DHS, Demographic and Health Survey; DMPA, depot medroxyprogesterone acetate; DRC/K, Democratic Republic of the Congo/Kinshasa only; IUD, intrauterine device; PMA, Performance Monitoring and Accountability 2020; pp, percentage point; R, round.",,,,,,,,,,
,,,,,,,,,,
Note: Table ordered according to implant CPR (Column 4).,,,,,,,,,,
a,,,,,,,,,,
,,,,,,,,,,
Sum of the intramuscular DMPA injectable and the subcutaneous injectable Sayana Press.,,,,,,,,,,
