Source:,https://docs.google.com/spreadsheets/d/1YOgKmbZGyRWglDXx7xO1UvhPeS7FP3rC/edit#gid=372683108,,
,Bill and Melinda Goalkeepers 2020 Report Data,,
,,,
"Under-five deaths per 1,000 live births",,,
Year,Global Reference Scenario,Global Better Scenario,Global Worse Scenario
2000,71,,
2001,69,,
2002,68,,
2003,66,,
2004,64,,
2005,62,,
2006,60,,
2007,58,,
2008,57,,
2009,55,,
2010,53,,
2011,51,,
2012,49,,
2013,47,,
2014,46,,
2015,44,,
2016,42,,
2017,40,,
2018,39,,
2019,37,,
2020,38,36,40
2021,37,34,40
2022,35,33,38
2023,35,32,38
2024,34,31,39
2025,33,29,39
2026,33,28,39
2027,32,27,40
2028,31,26,40
2029,30,25,40
2030,30,24,40
