Source:,http://hfrportal.moh.go.tz/index.php?r=facilities/BedCapacity,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bed Capacity for operating facility As of 05-08-2021 16:19:42,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Facility Number,Facility Name,Latitude,Longitude,Common Name,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Date Opened,Official Phone Number,Available Bed
108439-1,2 Crown Dental,,,,Dar es Salaam Region,Ilala District,Ilala MC,,,Dispensary,,Private,,,
113310-7,2001 GEM PLUS,-2.563525,32.912659,,Mwanza Region,Nyamagana District,Nyamagana MC,Butimba,,Level IA2 (Dispensary Laboratory),,Private,01-01-70,,
100017-3,202 KJ,Not Set,Not Set,,Dodoma Region,Dodoma District,,,,Dispensary,,Public,,,5
108548-9,23kj,Not Set,Not Set,Jeshini / JWTZ,Kagera Region,Biharamulo District,Biharamulo DC,Biharamulo Mjini,Biharamulo Mjini,Dispensary,,Public,,,
110967-7,24kj,Not Set,Not Set,24kj,Kigoma Region,Kigoma District,Kigoma Ujiji MC,Mwanga Kusini,Vamiya,Dispensary,,Public,06-09-97,282802845,10
111824-9,361 KJ,Not Set,Not Set,361 KJ,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Makongo,Mlalakuwa,Dispensary,,Public,,,
120423-9,4polyclinic,,,4polyclinic,Dar es Salaam Region,Ilala District,Ilala MC,Ukonga,Markaz,Poly Clinic,,Private,05-10-20,"74,244,476",
100019-9,511KJ Gongo la Mboto,Not Set,Not Set,Hospitali ya jeshi,Dar es Salaam Region,Ilala District,Ilala MC,Gongo la Mboto,G/Mboto,Dispensary,,Public,01-01-70,,12
100020-7,512KJ,Not Set,Not Set,MTC,Mwanza Region,Nyamagana District,Nyamagana MC,Butimba,Iseni,Dispensary,,Public,01-11-07,753491310,10
100021-5,514KJ,Not Set,Not Set,Zahanati ya Jeshi,Njombe Region,Njombe District,Makambako TC,Ubena,Ubena,Dispensary,,Public,07-01-73,,
100022-3,663 KJ,Not Set,Not Set,,Mwanza Region,Ilemela District,Ilemela MC,Nyamanoro,,Dispensary,,Public,,,
100542-0,821KJ,Not Set,Not Set,Zahanati ya Bulombora,Kigoma Region,Kigoma District,Kigoma DC,Mwamgongo,Mwamgongo,Dispensary,,Public,,,
110841-4,909 Dental Centre,-6.809073,39.27917,909 Dental,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Magharibi,Mfaume,Basic Dental Clinic,,Private,12-02-14,779909909,
100024-9,A and A,-8.67632,34.304,Kwa Kasela,Mbeya Region,Mbarali District,Mbarali DC,Ubaruku,Utyego,Dispensary,,Private,01-01-70,754634324,10
113180-4,A1 Eye Solutions,-6.788266,39.10833,,Dar es Salaam Region,Ubungo District,Ubungo MC,Mbezi,Luis,Optometry Clinic,,Private,01-01-70,655730650,
112328-0,A2Z poly,,,,Kilimanjaro Region,Moshi District,Moshi MC,Njoro,Railway,Medical Clinic,,Private,,,
100025-6,AA&B,-6.800753,39.27466,AAB&R,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Mashariki,Kitonga,Medical Clinic,,Private,01-01-70,713650469,2
111087-3,AAM International,,,AAM International,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Msasani,Mikoroshini,Medical Clinic,,Private,,,
100029-8,AAR,-3.37317,36.7018,AAR,Arusha Region,Arusha District,Arusha CC,Sekei,Mahakama,Poly Clinic,,Private,11-05-18,769198432,2
100030-6,AAR,-6.81643,39.2856,AAR,Dar es Salaam Region,Ilala District,Ilala MC,Kisutu,Kisutu,Poly Clinic,,Private,01-01-70,,9
110844-8,AAR,-6.91034,39.26977,AAR Mbagala Clinic,Dar es Salaam Region,Temeke District,Temeke MC,Mbagala,Moringe,Poly Clinic,,Private,10-05-18,0766760933/0755800383,
100031-4,AAR ChATO,-6.77842,39.25741,AAR Chato,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Mwananyamala,Kwa kopa,Dispensary,,Private,01-01-70,2.55223E+11,2
108681-8,AAR Health care Wazo,-6.65972,39.18128,AAR Tegeta,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Wazo,Wazo,Poly Clinic,,Private,01-01-70,2.5579E+11,2
109574-4,AAR KIA,-3.44194,37.06679,,Kilimanjaro Region,Hai District,Hai DC,KIA,Kia,Dispensary,,Private,11-07-13,,4
108660-2,AAR Sinza,-6.788666,39.221832,AAR Sinza,Dar es Salaam Region,Ubungo District,Ubungo MC,Sinza,Sinza C,Poly Clinic,,Private,06-03-13,022-2461862,2
111438-8,AAR Tabata,-6.84306,39.20898,AAR Tabata,Dar es Salaam Region,Ilala District,Ilala MC,Tabata,Tabata,Poly Clinic,,Private,05-01-15,766883288,1
102103-9,AB,-6.802534,39.246076,JPM,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Ndugumbi,Vigaeni,Hospital at District Level,,Private,06-03-16,784352822,10
109828-4,Abbas Medical Centre,-6.81513,39.27406,Dr. Abbas,Dar es Salaam Region,Ilala District,Ilala MC,Jangwani,Mtambani,Specialized Polyclinic,,Private,01-01-70,2183936,
112493-2,Abbys,-6.34429,31.07279,Abbys,Katavi Region,Mpanda District,Mpanda MC,Kashaulili,Kashaulili,Health Center,,Private,05-06-19,756282282,10
112327-2,Abduelrazaq Mohamed Saleh,-4.85826,29.65142,Abduelrazaq Mohamed Saleh,Kigoma Region,Kigoma District,Kigoma Ujiji MC,Gungu,Masanga,Dispensary,,Private,01-01-70,622588466,4
114519-2,Abems,-6.730210,37.647713,Abems,Morogoro Region,Morogoro District,Morogoro MC,Mkundi,Kilongo,Dispensary,,Private,02-01-20,781629707,6
113780-1,Abiga,-2.837972,33.089104,Abiga,Mwanza Region,Misungwi District,Misungwi DC,Misungwi,,Maternity Home,,Private,06-09-19,762170362,5
113248-9,ABM,,,,Dar es Salaam Region,Ubungo District,Ubungo MC,Mabibo,,Level IA2 (Dispensary Laboratory),,Private,,,
110005-6,Access,-6.75485,38.9324,Kwa Mathias,Pwani Region,Kibaha District,Kibaha TC,Mkuza,Mkuza,Dispensary,,Private,,754071702,1
112702-6,Access Medical & Diagnostic,-6.80312,39.27877,72533,Dar es Salaam Region,Ilala District,Ilala MC,Upanga Mashariki,Kitonga,Medical Clinic,,Private,07-02-18,,2
110779-6,Access Medical and Dialysis Centre,-6.76675,39.26138,Access Medical and Dialysis Centre,Dar es Salaam Region,Kinondoni District,Kinondoni MC,Msasani,Bonde la Mpunga,Medical Clinic,,Private,,653204425,12
111629-2,ACDK,-5.32693,36.5677,DMK Eye Clinic,Manyara Region,Kiteto District,Kiteto DC,Partimbo,Partimbo,Dispensary,,Private,01-01-70,,
114009-4,Achwi,-4.77252,35.78413,Achwi,Dodoma Region,Kondoa District,Kondoa TC,Bolisa,,Dispensary,Foundation,Public,,,
113997-1,Aclane,-8.77998,35.81071,Kwa Mushi,Morogoro Region,Kilombero District,Mlimba DC,Mlimba,Mlimba 'A',Dispensary,,Private,01-01-70,692458762,6
112995-6,Adefa Optical Centre,-10.27169,40.18213,Adefa Optical Centre,Mtwara Region,Mtwara District,Mtwara MC,Shangani,Ligula umoja,Optometry Clinic,,Private,01-01-70,0755/0784354206,
