Source:,Journalist's interviews with surgeons in the country,,,,,,,,
,,,,,,,,,
Facility name,Region,Location,Latitude,Longitude,,,,Facility type,Ownership
1000 Acre Community-based Health Planning and Services,Brong Ahafo,"1000 Acre Community-based Health Planning and Services, Brong Ahafo, Ghana",7.9559247,-1.6760691,,,,Community-based Health Planning and Services,MoH
Abui Community-based Health Planning and Services,Volta,"Abui Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
Aburonahia Community-based Health Planning and Services,Western,"Aburonahia Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Achubunyo Community-based Health Planning and Services,Northern,"Achubunyo Community-based Health Planning and Services, Northern, Ghana",9.5439269,-0.9056623,,,,Community-based Health Planning and Services,MoH
Adade Kofi Community-based Health Planning and Services,Central,"Adade Kofi Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Ahwiafutu Community-based Health Planning and Services,Western,"Ahwiafutu Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Aidoosuazo Community-based Health Planning and Services,Western,"Aidoosuazo Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Akolpolsiga Community-based Health Planning and Services,Upper East,"Akolpolsiga Community-based Health Planning and Services, Upper East, Ghana",10.7082499,-0.9820668,,,,Community-based Health Planning and Services,MoH
Akote Community-based Health Planning and Services,Eastern,"Akote Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Akporsorkubi Health Centre,Volta,"Akporsorkubi Health Centre, Volta, Ghana",6.5781373,0.4502368,,,,Health Centre,MoH
Akurafu Community-based Health Planning and Services,Western,"Akurafu Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Akyekyerekrom Community-based Health Planning and Services,Ashanti,"Akyekyerekrom Community-based Health Planning and Services, Ashanti, Ghana",6.7470436,-1.5208624,,,,Community-based Health Planning and Services,MoH
Alukpatsa Community-based Health Planning and Services,Volta,"Alukpatsa Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
Amoashed Community-based Health Planning and Services,Western,"Amoashed Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Amonie Presby Clinic,Western,"Amonie Presby Clinic, Western, Ghana",5.3901978,-2.1450245,,,,Clinic,FBO
Antseamboa Community-based Health Planning and Services,Central,"Antseamboa Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Anyekrom Health Centre,Brong Ahafo,"Anyekrom Health Centre, Brong Ahafo, Ghana",7.9559247,-1.6760691,,,,Health Centre,MoH
Anyiremu Community-based Health Planning and Services,Volta,"Anyiremu Community-based Health Planning and Services, Volta, Ghana",6.5781373,0.4502368,,,,Community-based Health Planning and Services,MoH
Aowin Suaman SDA Clinic,Western,"Aowin Suaman SDA Clinic, Western, Ghana",5.8071075,-2.8577105,,,,Clinic,FBO
Arhinful Community-based Health Planning and Services,Western,"Arhinful Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Asemnyinakrom Health Centre,Western,"Asemnyinakrom Health Centre, Western, Ghana",5.3901978,-2.1450245,,,,Health Centre,MoH
Asmah Camp Community-based Health Planning and Services,Central,"Asmah Camp Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Asoampa Community-based Health Planning and Services,Western,"Asoampa Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Atekyem Community-based Health Planning and Services,Eastern,"Atekyem Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Attobrakrom Community-based Health Planning and Services,Western,"Attobrakrom Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Azua Community-based Health Planning and Services,Volta,"Azua Community-based Health Planning and Services, Volta, Ghana",18.4531742,-70.7346887,,,,Community-based Health Planning and Services,MoH
Bawiesibella Community-based Health Planning and Services,Upper West,"Bawiesibella Community-based Health Planning and Services, Upper West, Ghana",10.2529757,-2.1450245,,,,Community-based Health Planning and Services,MoH
Bechwa Community-based Health Planning and Services,Western,"Bechwa Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Bejamasu Health Centre,Volta,"Bejamasu Health Centre, Volta, Ghana",6.5781373,0.4502368,,,,Health Centre,MoH
Bepoase Clinic,Western,"Bepoase Clinic, Western, Ghana",7.0875787,-1.5620347,,,,Clinic,MoH
Bethel Heamopatic Community-based Health Planning and Services,Central,"Bethel Heamopatic Community-based Health Planning and Services, Central, Ghana",5.5607846,-1.0586135,,,,Community-based Health Planning and Services,MoH
Betom Community-based Health Planning and Services,Eastern,"Betom Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Biitenga Community-based Health Planning and Services,Upper West,"Biitenga Community-based Health Planning and Services, Upper West, Ghana",10.2529757,-2.1450245,,,,Community-based Health Planning and Services,MoH
Bruben Community-based Health Planning and Services,Eastern,"Bruben Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Cashier Community-based Health Planning and Services,Western,"Cashier Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Damakung Clinic,Northern,"Damakung Clinic, Northern, Ghana",9.5439269,-0.9056623,,,,Clinic,MoH
Debrakrom Community-based Health Planning and Services,Eastern,"Debrakrom Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Doudukrom Community-based Health Planning and Services,Eastern,"Doudukrom Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Evangelical Presbyterian Church Clinic,Volta,"Evangelical Presbyterian Church Clinic, Volta, Ghana",6.5781373,0.4502368,,,,Clinic,FBO
Fatima Clinic,Western,"Fatima Clinic, Western, Ghana",5.3901978,-2.1450245,,,,Clinic,FBO
Fawoman Community-based Health Planning and Services,Western,"Fawoman Community-based Health Planning and Services, Western, Ghana",7.6703603,-2.7705136,,,,Community-based Health Planning and Services,MoH
Fiamafle Clinic,Volta,"Fiamafle Clinic, Volta, Ghana",6.5781373,0.4502368,,,,Clinic,MoH
Fosukrom Community-based Health Planning and Services,Western,"Fosukrom Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Ga Community-based Health Planning and Services,Upper West,"Ga Community-based Health Planning and Services, Upper West, Ghana",32.1656221,-82.9000751,,,,Community-based Health Planning and Services,MoH
Godziase Community-based Health Planning and Services,Eastern,"Godziase Community-based Health Planning and Services, Eastern, Ghana",6.2374036,-0.4502368,,,,Community-based Health Planning and Services,MoH
Insusiding Community-based Health Planning and Services,Western,"Insusiding Community-based Health Planning and Services, Western, Ghana",5.3901978,-2.1450245,,,,Community-based Health Planning and Services,MoH
Jenebob Community-based Health Planning and Services,Upper West,"Jenebob Community-based Health Planning and Services, Upper West, Ghana",10.2529757,-2.1450245,,,,Community-based Health Planning and Services,MoH
Kakiasi Community-based Health Planning and Services,Northern,"Kakiasi Community-based Health Planning and Services, Northern, Ghana",9.5439269,-0.9056623,,,,Community-based Health Planning and Services,MoH
Kantankrubo Clinic,Western,"Kantankrubo Clinic, Western, Ghana",5.3901978,-2.1450245,,,,Clinic,MoH
