Source:,https://khro.health.go.ke/#/,,,,,,,,,
,,,,,,,,,,
Baringo,0,0,0,0,15,24,4,40,170,276
Bomet,0,0,1,0,37,81,25,87,125,391
Bungoma,0,0,2,6,10,25,18,332,302,948
Busia,0,0,51,375,338,333,149,402,709,2739
County,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
Elgeyo-Marakwet,0,0,0,1,1,4,3,36,59,108
Embu,0,0,1,1,7,79,74,96,161,601
Garissa,0,0,8,23,46,196,112,119,139,703
Homa Bay,0,1,3,2,6,51,9,48,124,341
Kajiado,1,2,76,193,875,712,111,265,672,3096
Kakamega,1,0,0,5,16,42,19,335,432,1025
Kericho,0,0,1,9,63,162,135,442,560,1514
Kiambu,0,8,43,218,1181,1077,216,717,2129,6277
Kilifi,8,0,8,49,44,58,61,450,1152,2649
Kirinyaga,0,0,1,0,24,60,2,37,99,499
Kisii,0,0,2,3,25,141,161,327,264,996
Kisumu,0,0,5,20,68,171,305,660,689,2121
Kitui,1,2,6,3,11,116,162,33,241,707
Kwale,1,1,30,22,7,11,13,56,153,394
Laikipia,0,0,1,2,54,159,58,239,375,1005
Lamu,0,0,0,2,29,77,12,5,76,295
lsiolo,0,0,4,5,10,38,3,51,64,52
Machakos,0,0,6,107,660,457,83,346,622,2424
Makueni,0,0,3,19,64,71,10,24,97,427
Mandera,0,8,11,0,1,9,0,0,68,106
Marsabit,0,0,0,3,7,8,6,18,73,146
Meru,0,0,1,14,21,44,59,208,520,1067
Migori,0,0,17,104,168,135,38,67,230,871
Mombasa,7,122,501,952,552,336,453,1739,2963,8816
Murang'a,0,0,1,10,63,95,23,83,250,813
Nairobi,61,202,841,2326,9311,6747,1235,5608,10433,41029
Nakuru,0,2,7,58,367,414,285,1713,1145,4694
Nandi,0,0,1,3,16,51,4,162,163,473
Narok,0,0,0,24,72,122,46,91,69,462
Nyamira,0,0,0,1,6,15,5,60,164,328
Nyandarua,0,0,0,0,13,34,11,43,210,367
Nyeri,0,0,2,8,78,185,22,89,465,1079
Samburu,0,0,0,0,0,49,7,22,45,182
Siaya,0,2,7,19,25,16,13,108,246,524
Taita Taveta,0,0,11,20,18,74,51,36,183,549
Tana River,0,0,0,0,6,19,0,6,39,104
Tharaka-Nithi,0,0,0,0,7,33,13,33,73,190
Trans Nzoia,0,0,1,2,14,58,111,392,169,780
Turkana,0,0,7,8,34,56,111,294,338,942
Uasin Gishu,0,1,24,79,167,208,127,1082,918,2862
Vihiga,0,0,0,2,14,12,8,39,60,173
Wajir,0,2,14,1,13,8,3,33,8,84
West Pokot,0,0,0,0,1,5,12,69,68,169
