"Source: JMP,2023",,,,,,,,,
,,,,,,,,,
This dataset contains information on the kenyan population using improved sanitation facilities in rural and urban areas from 2000 to 2030,,,,,,,,,
,,,,,,,,,
,,,Population using improved sanitation facilities (including shared):,,,,,,
Year,Setting,"Population (1000s)
Source: UN Population Division",Latrines and other,Septic tanks,Sewer connection,"Disposed of 
in situ",Emptied and treated,Wastewater treated,Safely managed sanitation
2000,Total,30 643,31.7,1.5,7.1,18.5,0,1.7,20.2
2001,Total,31 619,32.9,1.5,7.1,19.2,0,1.7,20.8
2002,Total,32 630,34,1.6,7.1,19.8,0,1.6,21.5
2003,Total,33 652,35.2,1.6,7.1,20.5,0,1.6,22.2
2004,Total,34 713,36.4,1.6,7.1,21.2,0,1.6,22.8
2005,Total,35 796,37.5,1.6,7,21.9,0,1.6,23.5
2006,Total,36 904,38.7,1.7,7,22.5,0,1.6,24.2
2007,Total,38 036,39.8,1.7,7,23.2,0,1.6,24.8
2008,Total,39 206,40.8,1.9,7,23.9,0,1.6,25.5
2009,Total,40 409,41.7,2.2,6.9,24.5,0,1.6,26.1
2010,Total,41 599,42.6,2.5,6.9,25.1,0,1.6,26.7
2011,Total,42 758,43.5,2.8,6.9,25.8,0,1.6,27.3
2012,Total,43 888,44.4,3.1,6.8,26.4,0,1.6,28
2013,Total,44 987,45.3,3.4,6.8,27,0,1.5,28.6
2014,Total,46 051,46.1,3.8,6.8,27.7,0,1.5,29.2
2015,Total,47 089,47,4.1,6.7,28.3,0,1.5,29.8
2016,Total,48 140,47.9,4.4,6.7,29,0,1.5,30.5
2017,Total,49 198,48.7,4.8,6.7,29.7,0,1.5,31.2
2018,Total,50 207,49.6,5.1,6.6,30.4,0,1.5,31.9
2019,Total,51 203,50.4,5.5,6.6,31.1,0,1.5,32.6
2020,Total,52 217,51.3,5.9,6.6,31.8,0,1.5,33.3
2021,Total,53 219,52.1,6.3,6.5,32.5,0,1.5,34
2022,Total,54 252,53,6.6,6.5,33.2,0,1.5,34.7
2023,Total,55 339,53.8,7,6.4,33.8,0,1.4,35.2
2024,Total,56 433,54.6,7.4,6.4,34.4,0,1.4,35.8
2025,Total,57 532,55.5,7.8,6.3,35,0,1.4,36.4
2026,Total,58 636,56.3,8.2,6.3,35.6,0,1.4,37
2027,Total,59 746,56.2,8.3,6.4,35.5,0,1.4,36.9
2028,Total,60 860,56.2,8.4,6.5,35.4,0,1.5,36.9
2029,Total,61 979,56.1,8.5,6.7,35.3,0,1.5,36.8
2030,Total,63 102,56.1,8.6,6.8,35.2,0,1.5,36.7
2000,Rural,24 547,32.4,0,1.4,20,0,0.5,20.4
2001,Rural,25 220,33.5,0,1.3,20.7,0,0.4,21.1
2002,Rural,25 911,34.6,0,1.3,21.4,0,0.4,21.8
2003,Rural,26 603,35.7,0,1.2,22.2,0,0.4,22.6
2004,Rural,27 316,36.9,0,1.2,22.9,0,0.4,23.3
2005,Rural,28 038,38,0,1.1,23.7,0,0.4,24
2006,Rural,28 769,39.1,0,1,24.4,0,0.3,24.8
2007,Rural,29 509,40.2,0,1,25.2,0,0.3,25.5
2008,Rural,30 267,41.4,0,0.9,25.9,0,0.3,26.3
2009,Rural,31 041,42.4,0.1,0.9,26.7,0,0.3,27
2010,Rural,31 793,43.3,0.3,0.8,27.5,0,0.3,27.7
2011,Rural,32 510,44.3,0.4,0.8,28.2,0,0.3,28.5
2012,Rural,33 190,45.3,0.6,0.7,29,0,0.2,29.2
2013,Rural,33 833,46.2,0.7,0.7,29.7,0,0.2,30
2014,Rural,34 437,47.2,0.9,0.6,30.5,0,0.2,30.7
2015,Rural,35 007,48.2,1,0.6,31.3,0,0.2,31.5
2016,Rural,35 573,49.2,1.2,0.5,32.2,0,0.2,32.4
2017,Rural,36 130,50.1,1.4,0.5,33.1,0,0.2,33.2
2018,Rural,36 636,51.1,1.5,0.4,34,0,0.1,34.1
2019,Rural,37 118,52.1,1.7,0.4,34.9,0,0.1,35
2020,Rural,37 599,53,1.8,0.3,35.8,0,0.1,35.9
2021,Rural,38 055,54,2,0.3,36.7,0,0.1,36.8
2022,Rural,38 518,55,2.1,0.2,37.6,0,0.1,37.7
2023,Rural,39 003,56,2.3,0.1,38.4,0,0.1,38.5
2024,Rural,39 475,56.9,2.4,0.1,39.2,0,0,39.3
2025,Rural,39 934,57.9,2.6,0,40,0,0,40.1
2026,Rural,40 379,58.9,2.7,0,40.9,0,0,40.9
2027,Rural,40 809,58.9,2.7,0,40.9,0,0,40.9
2028,Rural,41 225,58.9,2.7,0,40.9,0,0,40.9
2029,Rural,41 625,58.9,2.7,0,40.9,0,0,40.9
2030,Rural,42 009,58.9,2.7,0,40.9,0,0,40.9
2000,Urban,6 095,29.2,7.6,30.4,12.7,0,6.6,19.3
2001,Urban,6 399,30.5,7.6,30,13.2,0,6.5,19.7
2002,Urban,6 719,31.8,7.6,29.6,13.8,0,6.4,20.2
2003,Urban,7 049,33.2,7.6,29.3,14.3,0,6.3,20.6
2004,Urban,7 397,34.5,7.6,28.9,14.9,0,6.2,21.1
2005,Urban,7 759,35.8,7.6,28.5,15.4,0,6.2,21.6
2006,Urban,8 135,37.1,7.6,28.1,15.9,0,6.1,22
2007,Urban,8 528,38.4,7.6,27.7,16.5,0,6,22.5
2008,Urban,8 939,39.1,8.2,27.3,16.9,0,5.9,22.8
2009,Urban,9 368,39.7,8.9,26.9,17.3,0,5.9,23.1
2010,Urban,9 805,40.3,9.6,26.5,17.6,0,5.8,23.4
2011,Urban,10 249,41,10.3,26.1,18,0,5.7,23.7
2012,Urban,10 698,41.6,10.9,25.7,18.4,0,5.6,24.1
2013,Urban,11 154,42.3,11.6,25.4,18.8,0,5.6,24.4
2014,Urban,11 615,42.9,12.3,25,19.2,0,5.5,24.7
2015,Urban,12 082,43.5,13,24.6,19.6,0,5.4,25
2016,Urban,12 567,44.2,13.6,24.2,20,0,5.3,25.3
2017,Urban,13 068,44.8,14.3,23.8,20.4,0,5.2,25.6
2018,Urban,13 571,45.5,15,23.4,20.8,0,5.2,25.9
2019,Urban,14 084,46.1,15.7,23,21.2,0,5.1,26.3
2020,Urban,14 618,46.7,16.3,22.6,21.6,0,5,26.6
2021,Urban,15 164,47.4,17,22.2,22,0,4.9,26.9
2022,Urban,15 734,48,17.7,21.8,22.4,0,4.8,27.2
