"Source: JMP,2023",,,,,,
,,,,,,
This dataset contains information on the kenyan population using improved sources or water in urban and rural areas from 2000 - 2030.,,,,,,
,,,,,,
,,,Population using improved sources:,,,
Year,Setting,"Population (1000s)
Source: UN Population Division",Piped,Non-piped,Accessible on premises,Available when needed
2000,Total,30 643,31.3,20.7,21.2,35.4
2001,Total,31 619,31.5,21.6,21.9,36.1
2002,Total,32 630,31.7,22.4,22.6,37
2003,Total,33 652,31.8,23.2,23.3,37.8
2004,Total,34 713,32,24,24.1,38.7
2005,Total,35 796,32.1,24.8,24.8,39.6
2006,Total,36 904,32.3,25.7,25.6,40.5
2007,Total,38 036,32.4,26.5,26.4,41.4
2008,Total,39 206,32.5,27.3,27.1,42.3
2009,Total,40 409,32.6,28.1,27.9,43.2
2010,Total,41 599,32.7,28.9,28.7,44.1
2011,Total,42 758,32.9,29.8,29.5,45
2012,Total,43 888,33,30.6,30.4,45.9
2013,Total,44 987,33.1,31.4,31.2,46.8
2014,Total,46 051,33.2,32.3,32,47.7
2015,Total,47 089,33.3,33.1,32.9,48.7
2016,Total,48 140,33.3,33.9,33.8,49.6
2017,Total,49 198,33.4,34.7,34.6,50.5
2018,Total,50 207,33.5,35.6,35.5,51.5
2019,Total,51 203,33.6,36.4,36.4,52.4
2020,Total,52 217,33.6,37.2,37.3,53.3
2021,Total,53 219,33.7,38.1,38.2,54.3
2022,Total,54 252,33.7,38.9,39.1,55.2
2023,Total,55 339,33.8,39.7,40.1,56.2
2024,Total,56 433,33.8,40.6,41,57.1
2025,Total,57 532,33.8,41.4,41.5,57.8
2026,Total,58 636,33.9,42.2,42,58.5
2027,Total,59 746,34.1,42.2,42.2,58.6
2028,Total,60 860,34.3,42.1,42.4,58.7
2029,Total,61 979,34.5,42,42.5,58.8
2030,Total,63 102,34.7,42,42.7,58.9
2000,Rural,24 547,18.5,24.2,11.9,29.1
2001,Rural,25 220,18.6,25.1,12.6,29.8
2002,Rural,25 911,18.8,25.9,13.2,30.6
2003,Rural,26 603,19,26.7,13.9,31.5
2004,Rural,27 316,19.1,27.6,14.6,32.3
2005,Rural,28 038,19.3,28.4,15.3,33.2
2006,Rural,28 769,19.5,29.2,16,34.1
2007,Rural,29 509,19.7,30,16.7,34.9
2008,Rural,30 267,19.8,30.9,17.4,35.8
2009,Rural,31 041,20,31.7,18.2,36.7
2010,Rural,31 793,20.2,32.5,19,37.6
2011,Rural,32 510,20.3,33.4,19.8,38.5
2012,Rural,33 190,20.5,34.2,20.6,39.4
2013,Rural,33 833,20.7,35,21.4,40.3
2014,Rural,34 437,20.8,35.9,22.3,41.2
2015,Rural,35 007,21,36.7,23.1,42.1
2016,Rural,35 573,21.2,37.5,24,43.1
2017,Rural,36 130,21.3,38.4,24.9,44
2018,Rural,36 636,21.5,39.2,25.8,45
2019,Rural,37 118,21.7,40,26.7,45.9
2020,Rural,37 599,21.8,40.8,27.7,46.9
2021,Rural,38 055,22,41.7,28.6,47.8
2022,Rural,38 518,22.2,42.5,29.6,48.8
2023,Rural,39 003,22.4,43.3,30.6,49.8
2024,Rural,39 475,22.5,44.2,31.6,50.8
2025,Rural,39 934,22.7,45,32.1,51.5
2026,Rural,40 379,22.9,45.8,32.5,52.3
2027,Rural,40 809,22.9,45.8,32.5,52.3
2028,Rural,41 225,22.9,45.8,32.5,52.3
2029,Rural,41 625,22.9,45.8,32.5,52.3
2030,Rural,42 009,22.9,45.8,32.5,52.3
2000,Urban,6 095,83.2,6.7,58.5,60.8
2001,Urban,6 399,82.2,7.8,58.7,60.9
2002,Urban,6 719,81.3,8.8,58.9,61.4
2003,Urban,7 049,80.3,9.9,59.1,61.9
2004,Urban,7 397,79.3,10.9,59.2,62.3
2005,Urban,7 759,78.4,12,59.4,62.8
2006,Urban,8 135,77.4,13.1,59.6,63.3
2007,Urban,8 528,76.4,14.1,59.8,63.8
2008,Urban,8 939,75.5,15.2,60,64.2
2009,Urban,9 368,74.5,16.2,60.1,64.7
2010,Urban,9 805,73.6,17.3,60.3,65.2
2011,Urban,10 249,72.6,18.4,60.5,65.7
2012,Urban,10 698,71.6,19.4,60.7,66.1
2013,Urban,11 154,70.7,20.5,60.9,66.6
2014,Urban,11 615,69.7,21.5,61,67.1
2015,Urban,12 082,68.8,22.6,61.2,67.6
2016,Urban,12 567,67.8,23.7,61.4,68.1
2017,Urban,13 068,66.8,24.7,61.6,68.6
2018,Urban,13 571,65.9,25.8,61.8,69
2019,Urban,14 084,64.9,26.8,62,69.5
2020,Urban,14 618,63.9,27.9,62.1,70
2021,Urban,15 164,63,29,62.3,70.5
2022,Urban,15 734,62,30,62.5,71
2023,Urban,16 336,61.1,31.1,62.7,71.5
2024,Urban,16 958,60.1,32.1,62.9,72
2025,Urban,17 598,59.1,33.2,62.9,72
2026,Urban,18 258,58.2,34.2,63,72.1
2027,Urban,18 936,58.2,34.2,63,72.1
2028,Urban,19 635,58.2,34.2,63,72.1
2029,Urban,20 355,58.2,34.2,63,72.1
2030,Urban,21 093,58.2,34.2,63,72.1
