Source : Demographic and Health Survey,
,
This dataset contains information on prevalence of malaria in different regions of Tanzania,
,
Region,Prevalence (%)
Tanzania (National Average),8%
Shinyanga,16%
Kagera,18%
Geita,13%
Mwanza,1%
Arusha,<1%
Kilimanjaro,<1%
Kusini Pemba,<1%
Mjini Magharibi,<1%
Kusini Unguja,<1%
Kaskazini Unguja,<1%
Kaskazini Pemba,<1%
Tanga,4%
Dar es Salaam,1%
Morogoro,6%
Dodoma,<1%
Singida,<1%
Manyara,<1%
Tabora,23%
Katavi,8%
Kigoma,13%
Rukwa,5%
Mbeya,3%
Njombe,2%
Iringa,1%
Ruvuma,8%
Pwani,7%
Lindi,11%
Mtwara,20%
