Source:,https://covid19.healthdata.org/kenya?view=mask-use&tab=compare,
,,
Mask Usage,,
Mask use represents the percentage of the population who say they always wear a mask in public.,,
,,
,,
Date,Global,Kenya
01/01/21,63%,62%
02/01/21,63%,62%
03/01/21,63%,62%
04/01/21,63%,62%
05/01/21,63%,62%
06/01/21,63%,62%
07/01/21,63%,62%
08/01/21,63%,62%
09/01/21,63%,62%
10/01/21,63%,62%
11/01/21,63%,62%
12/01/21,63%,63%
13/01/21,63%,63%
14/01/21,63%,63%
15/01/21,63%,63%
16/01/21,63%,63%
17/01/21,63%,63%
18/01/21,63%,63%
19/01/21,63%,63%
20/01/21,63%,63%
21/01/21,63%,63%
22/01/21,64%,62%
23/01/21,64%,62%
24/01/21,64%,62%
25/01/21,64%,61%
26/01/21,64%,61%
27/01/21,64%,61%
28/01/21,64%,61%
29/01/21,64%,60%
30/01/21,64%,60%
31/01/21,64%,60%
01/02/21,64%,60%
02/02/21,64%,60%
03/02/21,64%,60%
04/02/21,64%,59%
05/02/21,64%,59%
06/02/21,64%,59%
07/02/21,64%,58%
08/02/21,64%,58%
09/02/21,64%,58%
10/02/21,64%,58%
11/02/21,64%,58%
12/02/21,64%,57%
13/02/21,64%,57%
14/02/21,63%,57%
15/02/21,63%,57%
16/02/21,63%,57%
17/02/21,63%,57%
18/02/21,63%,57%
19/02/21,63%,57%
20/02/21,63%,57%
21/02/21,63%,56%
22/02/21,63%,56%
23/02/21,63%,56%
24/02/21,63%,56%
25/02/21,63%,56%
26/02/21,63%,55%
27/02/21,63%,55%
28/02/21,63%,55%
01/03/21,63%,55%
02/03/21,63%,55%
03/03/21,63%,55%
04/03/21,63%,55%
05/03/21,63%,55%
06/03/21,63%,55%
07/03/21,63%,55%
08/03/21,63%,55%
09/03/21,63%,55%
10/03/21,63%,56%
11/03/21,63%,56%
12/03/21,63%,56%
13/03/21,63%,57%
14/03/21,63%,57%
15/03/21,63%,58%
16/03/21,63%,58%
17/03/21,63%,59%
18/03/21,63%,59%
19/03/21,63%,59%
20/03/21,63%,60%
21/03/21,63%,60%
22/03/21,63%,61%
23/03/21,63%,61%
24/03/21,63%,62%
25/03/21,63%,62%
26/03/21,63%,63%
27/03/21,63%,63%
28/03/21,63%,64%
29/03/21,63%,65%
30/03/21,64%,65%
31/03/21,64%,65%
01/04/21,64%,66%
02/04/21,64%,66%
03/04/21,64%,66%
04/04/21,64%,67%
05/04/21,64%,67%
06/04/21,64%,67%
07/04/21,64%,67%
08/04/21,64%,67%
09/04/21,65%,67%
10/04/21,65%,67%
11/04/21,65%,67%
12/04/21,65%,67%
13/04/21,65%,67%
14/04/21,65%,67%
15/04/21,65%,67%
16/04/21,65%,67%
17/04/21,65%,67%
18/04/21,66%,67%
19/04/21,66%,67%
20/04/21,66%,67%
21/04/21,66%,67%
22/04/21,66%,67%
23/04/21,66%,66%
24/04/21,66%,66%
25/04/21,66%,66%
26/04/21,66%,66%
27/04/21,66%,66%
28/04/21,66%,66%
29/04/21,67%,66%
30/04/21,67%,66%
01/05/21,67%,66%
02/05/21,67%,66%
03/05/21,67%,66%
04/05/21,67%,65%
05/05/21,67%,65%
06/05/21,67%,65%
07/05/21,67%,65%
08/05/21,67%,65%
09/05/21,67%,65%
10/05/21,66%,65%
11/05/21,66%,65%
12/05/21,66%,65%
13/05/21,66%,65%
14/05/21,66%,65%
15/05/21,66%,65%
16/05/21,66%,65%
17/05/21,66%,65%
18/05/21,66%,65%
19/05/21,66%,65%
20/05/21,66%,65%
21/05/21,66%,65%
22/05/21,65%,65%
23/05/21,65%,65%
24/05/21,65%,65%
25/05/21,65%,66%
26/05/21,65%,66%
27/05/21,65%,66%
28/05/21,65%,65%
29/05/21,65%,65%
30/05/21,65%,65%
31/05/21,65%,65%
01/06/21,65%,65%
02/06/21,64%,64%
03/06/21,64%,64%
04/06/21,64%,64%
05/06/21,64%,64%
06/06/21,64%,64%
07/06/21,63%,64%
08/06/21,63%,64%
09/06/21,63%,64%
10/06/21,63%,64%
11/06/21,63%,64%
12/06/21,63%,65%
13/06/21,62%,65%
14/06/21,62%,65%
15/06/21,62%,65%
16/06/21,62%,65%
17/06/21,62%,65%
18/06/21,61%,65%
19/06/21,61%,65%
20/06/21,61%,65%
21/06/21,61%,65%
22/06/21,61%,65%
23/06/21,61%,65%
24/06/21,61%,65%
25/06/21,61%,65%
26/06/21,61%,65%
27/06/21,61%,65%
28/06/21,60%,65%
29/06/21,60%,65%
30/06/21,60%,65%
01/07/21,60%,65%
02/07/21,60%,65%
03/07/21,60%,65%
04/07/21,60%,65%
05/07/21,60%,65%
06/07/21,60%,65%
07/07/21,60%,65%
08/07/21,60%,65%
09/07/21,60%,65%
10/07/21,60%,65%
11/07/21,60%,65%
12/07/21,60%,65%
13/07/21,60%,65%
14/07/21,60%,65%
15/07/21,60%,65%
16/07/21,60%,65%
17/07/21,59%,65%
18/07/21,59%,65%
19/07/21,59%,65%
20/07/21,59%,65%
21/07/21,59%,66%
22/07/21,59%,66%
23/07/21,59%,66%
24/07/21,59%,66%
25/07/21,59%,66%
26/07/21,59%,66%
27/07/21,59%,66%
28/07/21,59%,66%
29/07/21,59%,66%
30/07/21,60%,66%
31/07/21,60%,66%
01/08/21,60%,66%
02/08/21,60%,67%
03/08/21,60%,67%
04/08/21,60%,67%
05/08/21,60%,67%
06/08/21,60%,68%
07/08/21,60%,68%
08/08/21,60%,68%
09/08/21,60%,68%
10/08/21,59%,68%
11/08/21,59%,68%
12/08/21,59%,68%
13/08/21,59%,68%
14/08/21,59%,67%
15/08/21,59%,67%
16/08/21,59%,67%
17/08/21,59%,67%
18/08/21,59%,67%
19/08/21,59%,66%
20/08/21,59%,66%
21/08/21,59%,66%
22/08/21,59%,66%
23/08/21,59%,66%
24/08/21,59%,66%
25/08/21,59%,66%
26/08/21,59%,67%
27/08/21,59%,67%
28/08/21,59%,67%
29/08/21,59%,67%
30/08/21,59%,67%
31/08/21,59%,68%
01/09/21,59%,68%
02/09/21,59%,68%
03/09/21,59%,68%
04/09/21,58%,68%
05/09/21,58%,68%
06/09/21,58%,68%
07/09/21,58%,68%
08/09/21,58%,68%
09/09/21,58%,68%
10/09/21,58%,67%
11/09/21,58%,67%
12/09/21,58%,67%
13/09/21,58%,67%
14/09/21,58%,67%
15/09/21,58%,66%
16/09/21,58%,66%
17/09/21,58%,66%
18/09/21,58%,66%
19/09/21,58%,66%
20/09/21,57%,65%
21/09/21,57%,65%
22/09/21,57%,65%
23/09/21,57%,65%
24/09/21,57%,65%
25/09/21,57%,65%
26/09/21,57%,65%
27/09/21,57%,64%
28/09/21,57%,64%
29/09/21,57%,64%
30/09/21,57%,64%
01/10/21,57%,64%
02/10/21,56%,64%
03/10/21,56%,64%
04/10/21,56%,64%
05/10/21,56%,64%
06/10/21,56%,64%
07/10/21,56%,63%
08/10/21,56%,63%
09/10/21,56%,63%
10/10/21,56%,63%
11/10/21,56%,63%
12/10/21,56%,63%
13/10/21,55%,62%
14/10/21,55%,62%
15/10/21,55%,62%
16/10/21,55%,61%
17/10/21,55%,61%
18/10/21,55%,61%
19/10/21,55%,61%
20/10/21,55%,60%
21/10/21,55%,60%
22/10/21,55%,60%
23/10/21,55%,59%
24/10/21,55%,59%
25/10/21,55%,59%
26/10/21,55%,59%
27/10/21,55%,60%
28/10/21,55%,60%
29/10/21,55%,60%
30/10/21,55%,60%
31/10/21,55%,60%
01/11/21,55%,60%
02/11/21,55%,60%
03/11/21,55%,60%
04/11/21,55%,60%
05/11/21,55%,60%
06/11/21,55%,60%
07/11/21,55%,60%
08/11/21,55%,60%
09/11/21,55%,60%
10/11/21,54%,59%
11/11/21,54%,59%
12/11/21,54%,59%
13/11/21,54%,59%
14/11/21,54%,58%
15/11/21,54%,58%
16/11/21,54%,58%
17/11/21,54%,58%
18/11/21,54%,57%
19/11/21,54%,57%
20/11/21,54%,57%
21/11/21,54%,56%
22/11/21,54%,56%
23/11/21,54%,56%
24/11/21,54%,56%
25/11/21,54%,56%
26/11/21,54%,56%
27/11/21,54%,56%
28/11/21,54%,56%
29/11/21,54%,56%
30/11/21,54%,56%
01/12/21,54%,56%
02/12/21,55%,56%
03/12/21,55%,56%
04/12/21,55%,56%
05/12/21,55%,56%
06/12/21,55%,55%
07/12/21,55%,55%
08/12/21,55%,54%
09/12/21,55%,54%
10/12/21,55%,53%
11/12/21,55%,53%
12/12/21,55%,53%
13/12/21,55%,52%
14/12/21,55%,52%
15/12/21,55%,52%
16/12/21,55%,51%
17/12/21,55%,51%
18/12/21,55%,52%
19/12/21,55%,52%
20/12/21,55%,52%
21/12/21,55%,53%
22/12/21,55%,53%
23/12/21,55%,54%
24/12/21,55%,54%
25/12/21,55%,54%
26/12/21,55%,55%
27/12/21,55%,55%
28/12/21,55%,55%
