"Source: Kenya Demographic and Health Survey, 2022",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"This dataset contains information on percentage of women who used specified materials to collect or absorb blood from the most recent menstrual period; and among women age 15–49 who were at home during their last menstrual period, percentage who were able to wash and change in privacy while at home and percentage who were able to both wash and change in privacy and who used appropriate materials during their last menstruation, according to background characteristics.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Among women whose most recent menstrual period was in the last year, percentage whoused the specified materials to collect or absorb blood from most recent menstrual period",,,,,,,,,,,Among womenwhose most recent menstrual period was in the last year and who were at home during their last menstrual period,,
Background characteristic,Re-usable sanitary pads,Disposable sanitary pads,Tampons,Menstrual cup,Cloth,Toilet paper,Cotton wool,Underwear only,Other,Nothing,Number of women,Percent able to wash and change in privacy,Percentage able to wash and change in privacy and who used appropriate materials during last menstruation,Number of women
Age,,,,,,,,,,,,,,
15–19,5.2,93.3,0.3,0,2,0.3,0.5,0.8,0,0.2,"2,941",97.7,97.1,"2,895"
20–24,4.6,93.8,0.8,0,1.6,0.2,0.3,0.4,0,0.3,"2,796",98.6,98.1,"2,782"
25–29,3.7,92.3,2.3,0,2.8,0.2,0.7,1.3,0,0.5,"2,545",98.6,97.2,"2,537"
30–34,4.5,89.9,1.6,0,4.3,0,0.9,1.5,0,0.4,"2,094",97.9,96.3,"2,086"
35–39,3.7,89.7,0.7,0.1,5.1,0.3,0.8,1.7,0.1,0.7,"2,027",98.4,96.4,"2,022"
40–44,5.4,87.1,1.1,0,5.9,1.2,1,2.1,0,1,"1,443",97.6,95,"1,436"
45–49,4,86.8,0.2,0,6.7,0.4,1.2,1.8,0.1,0.6,978,97.7,95.5,969
Residence,,,,,,,,,,,,,,
Urban,4.9,93.4,2.1,0,1.3,0.2,0.4,0.5,0,0.2,"6,278",99.1,98.4,"6,251"
Rural,4.2,89.6,0.3,0,5.2,0.4,0.9,1.7,0,0.6,"8,546",97.5,95.6,"8,475"
Education,,,,,,,,,,,,,,
No education,8.5,58.6,0,0,26.2,0.2,0.7,7.1,0.1,4,681,92.8,84.4,679
Primary,4.1,89.2,0.1,0.1,5.2,0.5,1,2,0,0.7,"5,167",97.9,95.6,"5,135"
Secondary,4.6,94.7,0.7,0,1.1,0.2,0.5,0.4,0,0.1,"5,948",98.5,98.1,"5,901"
More than secondary,3.8,95.1,3.6,0,0.2,0.2,0.5,0.1,0,0,"3,028",99,99,"3,012"
Wealth quintile,,,,,,,,,,,,,,
Lowest,3.9,79.4,0,0,13.3,0.2,1,3.6,0.1,1.7,"2,106",95.3,91.2,"2,084"
Second,4.4,89.6,0.2,0,5,0.5,1,2.1,0.1,0.5,"2,606",97.8,95.8,"2,588"
Middle,4.9,92.2,0.2,0.1,2.9,0.3,0.7,1,0,0.4,"2,712",98.1,96.9,"2,702"
Fourth,4.8,94.6,0.7,0,0.8,0.4,0.6,0.3,0,0.2,"3,382",98.7,98.2,"3,362"
Highest,4.2,94.9,3.1,0,0.2,0.4,0.4,0.2,0,0,"4,018",99.4,99.2,"3,991"
Total,4.5,91.2,1.2,0,3.5,0.3,0.7,1.2,0,0.5,"14,823",98.1,96.8,"14,726"
