Source:,"Guttmacher Institute, 2019",,
,https://data.guttmacher.org/countries/table?country=KE+TZ+ZA&topics=300+301+302+303+304+305+306+307+308+309+310+311+312+313+400&dataset=data,,
"Maternal health indicators in Kenya, Tanzania, South Africa 2015-2019",,,
"This dataset contains information on abortion rates, contraception use, pregnancy, births and maternal and newborn health in Kenya Tanzania and South Africa from 2015-2019",,,
,,,
Country,Kenya,Tanzania,South Africa
"% of rural women aged 15–49 not wanting to avoid pregnancy, 2019 [1]",43,50,39
"% of rural women aged 15–49 who want to avoid pregnancy, 2019 [2]",57,50,61
"% of urban women aged 15–49 not wanting to avoid pregnancy, 2019 [1]",41,47,39
"% of urban women aged 15–49 who want to avoid pregnancy, 2019 [2]",59,53,61
"% of women aged 15–19 giving birth who do not deliver in a health facility, 2019",33,29,2
"% of women aged 15–19 giving birth who have <4 antenatal , 2019 [7]",51,52,24
"% of women aged 15–19 not wanting to avoid pregnancy, 2019 [1]",78,78,67
"% of women aged 15–19 who want to avoid pregnancy, 2019 [2]",22,22,33
"% of women aged 15–49 giving birth who do not deliver in a health facility, 2019",34,35,4
"% of women aged 15–49 giving birth who have <4 antenatal visits, 2019 [7]",44,51,22
"% of women aged 15–49 not wanting to avoid pregnancy, 2019 [1]",42,49,39
"% of women aged 15–49 who want to avoid pregnancy, 2019 [2]",58,51,61
"Among rural women aged 15–49 who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",24,35,19
"Among rural women aged 15–49 who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",28,15,7
"Among rural women aged 15–49 who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",74,58,80
"Among rural women aged 15–49 who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",1,6,0
"Among rural women aged 15–49 who want to avoid pregnancy, % using condoms, 2019 [2]",3,5,20
"Among rural women aged 15–49 who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",4,9,7
"Among rural women aged 15–49 who want to avoid pregnancy, % using injectables, 2019 [2]",34,23,43
"Among rural women aged 15–49 who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",4,6,4
"Among rural women aged 15–49 who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",2,1,0
"Among rural women aged 15–49 who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",74,58,80
"Among rural women aged 15–49 who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",26,42,20
"Among urban women aged 15–49 who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",17,25,18
"Among urban women aged 15–49 who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",28,11,7
"Among urban women aged 15–49 who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",81,60,81
"Among urban women aged 15–49 who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",2,15,0
"Among urban women aged 15–49 who want to avoid pregnancy, % using condoms, 2019 [2]",6,14,20
"Among urban women aged 15–49 who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",9,10,9
"Among urban women aged 15–49 who want to avoid pregnancy, % using injectables, 2019 [2]",31,19,36
"Among urban women aged 15–49 who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",3,5,9
"Among urban women aged 15–49 who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",4,1,1
"Among urban women aged 15–49 who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",81,60,81
"Among urban women aged 15–49 who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",19,40,19
"Among women aged 15–19 who need care following a major obstetric complication, % not receiving care, 2019",59,57,3
"Among women aged 15–19 who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",45,50,23
"Among women aged 15–19 who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",13,8,7
"Among women aged 15–19 who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",53,43,77
"Among women aged 15–19 who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",2,7,0
"Among women aged 15–19 who want to avoid pregnancy, % using condoms, 2019 [2]",7,17,23
"Among women aged 15–19 who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",4,4,3
"Among women aged 15–19 who want to avoid pregnancy, % using injectables, 2019 [2]",22,13,45
"Among women aged 15–19 who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",0,0,0
"Among women aged 15–19 who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",7,0,0
"Among women aged 15–19 who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",53,43,77
"Among women aged 15–19 who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",47,57,23
"Among women aged 15–19 whose newborns need care for complications, % whose newborns do not receive care, 2019",40,42,12
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",17,25,18
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",37,19,7
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",82,71,82
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",1,4,0
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using condoms, 2019 [2]",4,13,24
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",4,9,6
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using injectables, 2019 [2]",31,22,33
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",5,8,11
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",1,0,2
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",82,71,82
"Among women aged 15–49 formerly in union who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",18,29,18
"Among women aged 15–49 formerly in union, % not wanting to avoid pregnancy, 2019 [1]",56,53,46
"Among women aged 15–49 formerly in union, % who want to avoid pregnancy, 2019 [2]",44,47,54
"Among women aged 15–49 formerly in union, no. who want to avoid pregnancy, 2019 [2]","730,000","840,000","500,000"
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % not using any method of contraception, 2019 [2]",32,50,20
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using LARC methods, 2019 [6, 2]",27,12,5
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using a modern method, 2019 [4, 2]",67,46,79
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using a traditional method of contraception, 2019 [5, 2]",1,4,0
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using condoms, 2019 [2]",2,3,20
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",2,6,6
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using injectables, 2019 [6, 2]",34,19,44
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using male or female sterilization, 2019 [2]",1,5,4
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % using other modern methods of contraception, 2019 [2]",1,1,0
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % with a met need for modern contraception, 2019 [4, 3, 2]",67,46,79
"Among women aged 15–49 in the poorest wealth quintile who want to avoid pregnancy, % with an unmet need for modern contraception, 2019 [4, 3, 2]",33,54,21
"Among women aged 15–49 in the poorest wealth quintile, % not wanting to avoid pregnancy, 2019 [1]",47,54,40
"Among women aged 15–49 in the poorest wealth quintile, % who want to avoid pregnancy, 2019 [2]",53,46,60
"Among women aged 15–49 in the poorest wealth quintile, no. who want to avoid pregnancy, 2019 [2]","1,100,000","1,100,000","1,900,000"
"Among women aged 15–49 in the richest wealth quintile who want to avoid pregnancy, % using contraceptive pills, patches or rings, 2019 [2]",10,10,16
