"Source: JMP,2023",,,,,,,,,,,
This dataset contains information on the mentrual health of women between 15 - 49 years in rural and urbam areas  from 2000 to 2024 ,,,,,,,,,,,
,,,,,,,,,,,
,,,Menstrual health %,,,,,,,,
Year,Setting,"Population (1000s)
Source: UN Population Division",Use of menstrual materials,Reusable materials,Single-use materials,Enough menstrual materials,Private place to change,Awareness of menstruation before first menstrual period,Ability to reduce menstruation-related pain,Comfort seeking help from a health care provider,"Participation in school, work, social activities during menstruation"
2000,Total,30 643,0,0,0,0,0,0,0,0,0
2001,Total,31 619,0,0,0,0,0,0,0,0,0
2002,Total,32 630,0,0,0,0,0,0,0,0,0
2003,Total,33 652,0,0,0,0,0,0,0,0,0
2004,Total,34 713,0,0,0,0,0,0,0,0,0
2005,Total,35 796,0,0,0,0,0,0,0,0,0
2006,Total,36 904,0,0,0,0,0,0,0,0,0
2007,Total,38 036,0,0,0,0,0,0,0,0,0
2008,Total,39 206,0,0,0,0,0,0,0,0,0
2009,Total,40 409,0,0,0,0,0,0,0,0,0
2010,Total,41 599,99.3,15.9,83,0,86.2,0,0,0,0
2011,Total,42 758,99.3,15.8,83,0,86.2,0,0,0,0
2012,Total,43 888,99.3,15.8,83.1,0,86.2,0,0,0,0
2013,Total,44 987,99.3,15.7,83.2,0,86.2,0,0,0,0
2014,Total,46 051,99.3,15.7,83.2,0,86.2,0,0,0,0
2015,Total,47 089,99.2,14.5,84.5,0,87.7,0,0,0,0
2016,Total,48 140,99,13.3,85.7,0,89.1,0,0,0,0
2017,Total,49 198,98.9,12.1,87,0,90.6,0,0,0,0
2018,Total,50 207,98.8,10.9,88.2,0,92.1,0,0,0,0
2019,Total,51 203,98.6,9.8,89.4,0,93.5,0,0,0,0
2020,Total,52 217,98.5,8.6,90.6,0,95,0,0,0,0
2021,Total,53 219,98.4,7.5,91.8,0,96.5,0,0,0,0
2022,Total,54 252,98.3,6.4,93,0,97.9,0,0,0,0
2023,Total,55 339,98.2,5.3,94.2,0,99.2,0,0,0,0
2024,Total,56 433,98.1,4.2,95.3,0,100,0,0,0,0
2025,Total,57 532,98,4,95,0,100,0,0,0,0
2026,Total,58 636,98,4,95,0,100,0,0,0,0
2027,Total,59 746,98,4,95,0,100,0,0,0,0
2028,Total,60 860,98,4,95,0,100,0,0,0,0
2029,Total,61 979,0,0,0,0,100,0,0,0,0
2030,Total,63 102,0,0,0,0,100,0,0,0,0
2000,Rural,24 547,0,0,0,0,0,0,0,0,0
2001,Rural,25 220,0,0,0,0,0,0,0,0,0
2002,Rural,25 911,0,0,0,0,0,0,0,0,0
2003,Rural,26 603,0,0,0,0,0,0,0,0,0
2004,Rural,27 316,0,0,0,0,0,0,0,0,0
2005,Rural,28 038,0,0,0,0,0,0,0,0,0
2006,Rural,28 769,0,0,0,0,0,0,0,0,0
2007,Rural,29 509,0,0,0,0,0,0,0,0,0
2008,Rural,30 267,0,0,0,0,0,0,0,0,0
2009,Rural,31 041,0,0,0,0,0,0,0,0,0
2010,Rural,31 793,99.2,19.1,79.7,0,86.3,0,0,0,0
2011,Rural,32 510,99.2,19.1,79.7,0,86.3,0,0,0,0
2012,Rural,33 190,99.2,19.1,79.7,0,86.3,0,0,0,0
2013,Rural,33 833,99.2,19.1,79.7,0,86.3,0,0,0,0
2014,Rural,34 437,99.2,19.1,79.7,0,86.3,0,0,0,0
2015,Rural,35 007,99,17.5,81.3,0,87.7,0,0,0,0
2016,Rural,35 573,98.9,16,82.9,0,89.1,0,0,0,0
2017,Rural,36 130,98.7,14.5,84.4,0,90.5,0,0,0,0
2018,Rural,36 636,98.5,12.9,86,0,91.9,0,0,0,0
2019,Rural,37 118,98.4,11.4,87.6,0,93.3,0,0,0,0
2020,Rural,37 599,98.2,9.8,89.2,0,94.7,0,0,0,0
2021,Rural,38 055,98,8.3,90.7,0,96.1,0,0,0,0
2022,Rural,38 518,97.9,6.8,92.3,0,97.5,0,0,0,0
2023,Rural,39 003,97.7,5.2,93.9,0,98.9,0,0,0,0
2024,Rural,39 475,97.5,3.7,95.4,0,100,0,0,0,0
2025,Rural,39 934,97.5,3.7,95.4,0,100,0,0,0,0
2026,Rural,40 379,97.5,3.7,95.4,0,100,0,0,0,0
2027,Rural,40 809,97.5,3.7,95.4,0,100,0,0,0,0
2028,Rural,41 225,97.5,3.7,95.4,0,100,0,0,0,0
2029,Rural,41 625,0,0,0,0,100,0,0,0,0
2030,Rural,42 009,0,0,0,0,100,0,0,0,0
2000,Urban,6 095,99.5,0,0,0,0,0,0,0,0
2001,Urban,6 399,99.5,0,0,0,0,0,0,0,0
2002,Urban,6 719,99.5,0,0,0,0,0,0,0,0
2003,Urban,7 049,99.5,0,0,0,0,0,0,0,0
2004,Urban,7 397,99.5,0,0,0,0,0,0,0,0
2005,Urban,7 759,99.5,0,0,0,0,0,0,0,0
2006,Urban,8 135,99.5,0,0,0,0,0,0,0,0
2007,Urban,8 528,99.5,0,0,0,0,0,0,0,0
2008,Urban,8 939,99.5,0,0,0,0,0,0,0,0
2009,Urban,9 368,99.5,0,0,0,0,0,0,0,0
2010,Urban,9 805,99.5,5.6,93.5,0,86.1,0,0,0,0
2011,Urban,10 249,99.5,5.6,93.5,0,86.1,0,0,0,0
2012,Urban,10 698,99.5,5.6,93.5,0,86.1,0,0,0,0
2013,Urban,11 154,99.5,5.6,93.5,0,86.1,0,0,0,0
2014,Urban,11 615,99.5,5.6,93.5,0,86.1,0,0,0,0
2015,Urban,12 082,99.5,5.6,93.7,0,87.7,0,0,0,0
2016,Urban,12 567,99.5,5.6,93.8,0,89.3,0,0,0,0
2017,Urban,13 068,99.4,5.6,94,0,90.9,0,0,0,0
2018,Urban,13 571,99.4,5.5,94.1,0,92.6,0,0,0,0
2019,Urban,14 084,99.4,5.5,94.3,0,94.2,0,0,0,0
2020,Urban,14 618,99.4,5.5,94.4,0,95.8,0,0,0,0
2021,Urban,15 164,99.4,5.5,94.6,0,97.4,0,0,0,0
2022,Urban,15 734,99.3,5.5,94.7,0,99.1,0,0,0,0
2023,Urban,16 336,99.3,5.4,94.9,0,100,0,0,0,0
2024,Urban,16 958,99.3,5.4,95,0,100,0,0,0,0
