"Source: FP2030 | United Nations Foundation, 2023",,,,
 Modern Contraceptive Use and Need among all women,,,,
,,,,
Year,Modern Contraceptive Prevalence Rate (mCP),Percentage of Women Estimated to Have an Unmet Need for Modern Methods of Contraception (mUN),Percentage of Women Estimated to Have Their Demand for Family Planning Met with a Modern Method of Contraception (mDS),Total Users of Modern Methods of Contraception
2012,36.50%,17.40%,67.70%,"3,970,000"
2013,38.50%,16.30%,70.30%,"4,290,000"
2014,40.50%,15.20%,72.70%,"4,640,000"
2015,42.80%,14.60%,74.50%,"5,020,000"
2016,43.30%,14.30%,75.10%,"5,210,000"
2017,43.00%,14.40%,74.90%,"5,320,000"
2018,43.60%,14.10%,75.60%,"5,530,000"
2019,44.00%,14.20%,75.70%,"5,730,000"
2020,44.70%,14.20%,75.90%,"5,980,000"
2021,45.00%,14.30%,75.80%,"6,180,000"
2022,44.60%,14.50%,75.50%,"6,300,000"
2023,44.70%,14.50%,75.60%,"6,500,000"
