"Source: FP2030 | United Nations Foundation, 2023",,,,
,,,,
,,,,
,,,,
Year,Modern Contraceptive Prevalence Rate (mCP),Percentage of Women Estimated to Have an Unmet Need for Modern Methods of Contraception (mUN),Year,Total Users of Modern Methods of Contraception
2012,17.00%,8.30%,2012,"770,000"
2013,18.30%,8.30%,2013,"850,000"
2014,19.60%,8.30%,2014,"940,000"
2015,21.40%,9.20%,2015,"1,060,000"
2016,22.00%,9.40%,2016,"1,130,000"
2017,22.40%,9.30%,2017,"1,190,000"
2018,22.90%,9.30%,2018,"1,260,000"
2019,24.00%,9.70%,2019,"1,370,000"
2020,25.30%,10.10%,2020,"1,490,000"
2021,26.40%,10.30%,2021,"1,610,000"
2022,26.90%,10.40%,2022,"1,700,000"
2023,27.40%,10.30%,2023,"1,790,000"
