Source : Tanzania National  Health Portal,,,,,,
,,,,,,
This dataset contains information on the number of health workers in different regions in Tanzania according to various cadre,,,,,,
,,,,,,
Category,Nurse,Clinical Assistant,Clinical Officer,Medical Officer,Pharmasict,Nursing Officer
Arusha Region,919,60,386,115,14,73
Dar Es Salaam Region,1544,70,718,249,67,340
Dodoma Region,734,59,305,91,19,66
Geita Region,320,68,161,16,3,6
Iringa Region,672,54,235,55,14,26
Kagera Region,790,52,201,17,7,51
Katavi Region,143,22,38,13,2,6
Kigoma Region,596,73,145,22,6,23
Kilimanjaro Region,1016,81,434,81,10,69
Lindi Region,422,37,151,23,3,5
Manyara Region,578,56,202,49,10,58
Mara Region,752,68,206,35,8,39
Mbeya Region,1054,97,296,57,20,24
Morogoro Region,927,109,533,72,14,152
Mtwara Region,506,64,183,35,5,15
Mwanza Region,854,83,304,48,15,33
Njombe Region,598,65,103,21,8,12
Pwani Region,659,64,418,100,23,107
Rukwa Region,384,45,112,20,3,15
Ruvuma Region,841,99,182,33,8,37
Shinyanga Region,596,61,180,38,7,12
Simiyu Region,314,66,118,15,4,6
Singida Region,557,55,148,25,7,42
Songwe Region,324,65,89,8,8,3
Tabora Region,446,47,128,20,4,7
Tanga Region,869,78,490,54,17,25
