Source:,https://uonresearch.org/blog/markets-closures-in-covid-19-prevention-and-control/,,
,,,
,,,
,Counties,Action,Date
1,Nandi,All open air markets closed,16/03/2020
2,akamega,Markets closed,16/03/2020
3,Vihiga,Markets closed,18/03/2020
4,Kiambu,Provide hand washing facilities in markets,
5,Kisumu,All open air markets closed,22/03/2020
6,Taita Taveta,Voi market closed,21/03/2020
7,Lamu/Wajir/Garissa,Miraa and Mogoka Markets banned,
8,Kajiado,Markets closed,18/03/2020
9,Muranga,Fumigate open air markets,
10,Mandera,Miraa market banned,
11,Kwale,Markets closed,24/03/2020
12,Machakos,Markets closed,24/03/2020
13,Kirinyaga,Provide Hand washing facilities,
14,Nairobi,Fumigation of major markets,
15,Busia,Soko posta closed,23/03/2020
16,Marsabit,"Miraa, livestock markets banned",
17,Kisii,All open air markets closed,17/03/2020
18,Meru,Cancelled official market days,23/03/2020
19,Bungoma,All markets closed,23/03/2020
20,Mombasa,Kongowea market moved to Tononoka stadium,20/03/2020
21,Kilifi,Tezo Open air markets closed,16/03/2020
22,Nyandarua,Ol Kalau market closed,25/03/2020
23,Uasin Gishu,Markets closed,23/03/2020
