Source: ,"UNAIDS, 2020",,
,,,
"This dataset contains information on the number of people living with HIV, new HIV infections and AIDS-related deaths in Kenya from 1990-2019.",,,
,,,
Year,People living with HIV,New HIV infections,AIDS-related deaths
1990,510000,170000,17000
1991,680000,200000,24000
1992,860000,220000,32000
1993,1000000,230000,41000
1994,1200000,220000,51000
1995,1300000,200000,62000
1996,1400000,180000,72000
1997,1500000,160000,83000
1998,1500000,140000,93000
1999,1500000,130000,100000
2000,1500000,120000,110000
2001,1500000,110000,120000
2002,1500000,110000,120000
2003,1500000,100000,120000
2004,1400000,98000,120000
2005,1400000,94000,110000
2006,1400000,91000,98000
2007,1400000,87000,80000
2008,1400000,79000,69000
2009,1400000,78000,59000
2010,1400000,75000,51000
2011,1400000,68000,45000
2012,1400000,66000,40000
2013,1400000,64000,36000
2014,1500000,60000,35000
2015,1500000,54000,33000
2016,1500000,49000,29000
2017,1500000,47000,26000
2018,1500000,43000,23000
2019,1500000,42000,21000
