Source:,data.worldbank,,(Use the data in bold),,,
,,,,,,
,2005,,,Number of People per Community Health Worker,,
Uganda,0.194,,,Uganda,5155,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Physicians (per 1,000 people)",,,Source,Number of People per Physician,,
Country Name,2010,2017,,Country Name,2010,2017
Sub-Saharan Africa,0.149307426,0.2340083,,Sub-Saharan Africa,6698,4273
Uganda,0.117,0.168,,Uganda,8547,5952
World,1.330132105,1.565633443,,World,752,639
,,,,,,
,,,,,,
,,,,,,
"Nurses and midwives (per 1,000 people)",,,,Number of People per Nurse/Midwife,,
Country Name,2010,2018,,Country Name,2010,2018
Sub-Saharan Africa,0.74383202,0.985744586,,Sub-Saharan Africa,1344,1014
Uganda,1.306,1.2382,,Uganda,766,808
World,3.066732858,3.815835665,,World,326,262
