Source:,"Global Health: Science and Practice, 2018",,,,,,
Link:,https://pmc.ncbi.nlm.nih.gov/articles/PMC5878070/,,,,,,
,,,,,,,
"This dataset contains information on Method-Specific CPR and Share of Current Modern Method Mix for Implants, Injectables, IUDs, and Pills, Married Women, 2003–2017",,,,,,,
,,,,,,,
Country and Data Source,mCPR,Implant CPR,Implant Share of Method Mix,Injectables CPR,Injectables Share of Method Mix,IUD CPR/Share of Method Mix,Pill CPR/Share of Method Mix
Kenya PMA R5 2016,59.9,18.1,30.2,27.6,46,3.5/5.9,5.1/8.5
Kenya DHS 2008–09,39.4,1.9,4.8,21.6,54.8,1.6/4.1,7.2/18.3
Kenya DHS 2003,31.5,1.7,5.4,14.3,45.4,2.4/7.6,7.5/23.8
Burkina Faso PMA R4 2016,24.6,11.8,48.1,8.2  b,33.4  b,0.9/3.5,2.8/11.5
Burkina Faso DHS 2010,15,3.4,22.7,6.2,41.3,0.3/2.0,3.2/21.3
Burkina Faso DHS 2003,8.6,1.2,14,2.5,29.1,0.4/4.7,2.2/25.6
Malawi DHS 2015–16,58.1,11.5,19.8,30,51.6,1.1/1.9,2.4/4.1
Malawi DHS 2010,42.2,1.3,3.1,25.8,61.1,0.3/0.7,2.5/5.9
Malawi DHS 2004,28.1,0.5,1.8,18,25.6,0.1/0.4,2.0/7.1
Zimbabwe DHS 2015,65.8,9.6,14.6,9.6,14.6,0.6/1.0,41.1/62.5
Zimbabwe DHS 2010–11,57.3,2.7,4.7,8.3,14.5,0.2/0.3,41.3/72.1
Zimbabwe DHS 2005–06,58.4,1.2,2.1,9.9,17,0.3/0.5,43.0/73.6
Ethiopia PMA R5 2017,35.2,8.3,23.7,24.1,66.3,1.2/3.3,1.8/5.2
Ethiopia DHS 2011,27.3,3.4,12.5,20.8,76.2,0.3/1.1,2.1/7.7
Ethiopia DHS 2005,13.9,0.2,1.4,9.9,71.2,0.2/1.4,3.1/22.3
Senegal DHS 2016,23.1,7.1,30.7,8.2,35.5,1.6/6.9,4.6/20.0
Senegal DHS 2010–11,12.1,1.1,9.1,5.2,43,0.6/5.0,4.1/33.9
Senegal DHS 2005,10.3,0.6,5.8,3.2,31.1,0.5/4.9,3.6/35.0
Uganda PMA R5 2017,33.9,7.1,20.8,17.6  b,51.9  b,0.9/2.6,2.7/8.1
Uganda DHS 2011,26,2.7,10.4,14.1,54.2,0.5/1.9,2.9/11.2
Uganda DHS 2006,17.9,0.3,1.7,10.2,57,0.2/1.1,2.9/16.2
DRC/K PMA R5 2016,23.4,6.7,28.6,3.1  b,13.3,1.0/4.2,3.7/15.6
DRC/K DHS 2013–14,19,2.4,12.6,3.4,17.9,0.5/2.6,3.0/15.8
DRC/K DHS 2007,14.1,NAa,NAa,1.1,7.8,NAa,2.2/15.6
Tanzania DHS 2015-16,32,6.7,20.9,12.6,39.4,0.9/2.8,5.5/17.2
Tanzania DHS 2010,27.4,2.3,8.4,10.6,38.7,0.6/2.2,6.7/24.5
Tanzania DHS 2004-05,20,0.5,2.5,8.3,41.5,0.2/1.0,5.9/29.5
Ghana PMA R5 2016,25.8,5.9,23,8.4,32.6,0.5/2.0,4.5/17.5
Ghana DHS 2008,16.6,0.9,5.4,6.2,37.3,0.2/1.2,4.7/28.3
Ghana DHS 2003,18.7,1,5.3,5.4,28.9,0.9/4.8,5.5/29.4
Nigeria PMA R2 2017,16.1,3,18.8,4.5,28.1,1.0/6.5,2.5/15.4
Nigeria DHS 2013,9.8,0.4,4.1,3.2,32.7,1.1/11.2,1.8/18.4
Nigeria DHS 2008,9.7,0,0,2.6,26.8,1.0/10.3,1.7/17.5
Niger PMA R1 2016,14.4,1.7,11.9,5,34.9,0.4/2.9,6.8/47.0
Niger DHS 2012,12.2,0.3,2.5,2.1,17.2,0.1/0.8,5.6/45.9
Niger DHS 2006,5,NAa,NAa,1.5,30,0.1/2.0,3.0/60.0
,,,,,,,
"Abbreviations: CPR, contraceptive prevalence rate; DHS, Demographic and Health Survey; DRC/K, Democratic Republic of the Congo/Kinshasa only; DMPA, depot medroxyprogesterone acetate; IUD, intrauterine device; mCPR, modern contraceptive prevalence rate; NA, not available; PMA, Performance Monitoring and Accountability 2020; R, round.",,,,,,,
,,,,,,,
"Notes: Uppermost entry for each country is latest available DHS survey report or PMA2020 Family Planning Brief as of December 31, 2017. Table ordered according to implant CPR (Column 3). All data reported as percentages.",,,,,,,
a,,,,,,,
,,,,,,,
Included in “other modern methods” category.,,,,,,,
b,,,,,,,
,,,,,,,
Sum of the intramuscular DMPA injectable and the subcutaneous injectable Sayana Press.,,,,,,,
