Source:,https://www.researchgate.net/publication/369266565_The_use_of_Traditional_Medicines_for_Sexual_Enhancement_in_Northern_Nigeria,
,,
This dataset contains information on the Reported Side Effects and their severity levels of Using Traditional Medicine as Sexual enhancers in Northern Nigeria as of 2023.,,
,,
Side Effect,Prevalence (%),
Headache,35.9,
Dizziness,14,
Abdominal Pain,11.6,
,,
Severity Level,Prevalence (%),Definition
Mild,22.3,Self-limiting
Moderate,4.8,Self-treated
Severe,3.9,Required hospitalization
