Source:,https://ncdc.gov.ng/diseases/sitreps/?cat=14&name=An%20update%20of%20COVID-19%20outbreak%20in%20Nigeria,,,
,,,,
,,,,
7/7/2020,,,,
,,,,
States,Cummulative Confirmed Cases,Cummulative Discharged Cases,Cummulative Deaths,Total Active Cases
Lagos,"11,520 153","1,691",133,"9,696"
FCT,"2,322 41",691,35,"1,596"
Oyo,"1,530 0",811,19,700
Edo,"1,489 54",880,54,555
Delta,"1,285 0",407,25,853
Kano,"1,271 3","1,029",52,190
Rivers,"1,235 30",796,43,396
Ogun,"1,050 3",652,21,377
Kaduna,883 15,580,12,291
Katsina,628 0,441,23,164
Borno,555 8,448,34,73
Ondo,550 76,124,20,406
Gombe,521 1,380,21,120
Bauchi,516 0,485,12,19
Ebonyi,503 0,426,6,71
Plateau,460 6,241,14,205
Enugu,418 37,255,11,152
Abia,400 9,218,3,179
Imo,352 0,61,8,283
Jigawa,318 0,308,10,0
Kwara,297 13,162,9,126
Bayelsa,269 1,137,16,116
Nasarawa,234 2,113,8,113
Osun,198 20,84,7,107
Sokoto,153 0,125,16,12
Niger,122 0,87,7,28
Benue,121 24,35,6,80
Akwa Ibom,112 0,71,3,38
Adamawa,99 0,71,7,21
Kebbi,86 2,63,7,16
Zamfara,76 0,71,5,0
Anambra,73 0,57,9,7
Yobe,61 0,51,8,2
Ekiti,45 0,40,2,3
Taraba,27 5,11,0,16
Cross River,5 0,3,1,1
Kogi,5 0,3,2,0
Total,"29,789 503","12,108",669,"17,012"
