Characteristic,Unmet need for family planning
Nigeria,18.9%
FCT Abuja,19.1%
Benue,16.7%
Kogi,25.9%
Kwara,24.4%
Nasarawa,23.7%
Niger,19.2%
Plateau,19.8%
Adamawa,10.2%
Bauchi,20.8%
Borno,26.0%
Gombe,16.8%
Taraba,13.1%
Yobe,20.6%
Jigawa,14.5%
Kaduna,12.3%
Kano,16.5%
Katsina,15.7%
Kebbi,11.8%
Sokoto,13.0%
Zamfara,15.0%
Abia,28.5%
Anambra,9.6%
Ebonyi,23.0%
Enugu,13.8%
Imo,21.0%
Ekiti,18.2%
Lagos,16.5%
Ogun,17.6%
Ondo,29.4%
Osun,25.6%
Oyo,30.6%
Akwa Ibom,32.0%
Bayelsa,29.9%
Cross River,34.5%
Delta,23.7%
Edo,32.7%
Rivers,23.0%
