Source:,https://africacdc.org/download/covid-19-vaccine-perceptions-a-15-country-study/
,
Africa CDC: COVID-19 Vaccine Perceptions - Feb 2021,
Willingness to Accept COVID-19 Vaccine,
,
Demographic,Reported Willingness to Accept the Vaccine
Overall,76%
Male,77%
Female,76%
18-24,71%
55+,87%
,
,
Attitudinal Group,Percentage of People that Would Take the Vaccine
Know someone who has had COVID,88%
DO NOT know someone with COVID,76%
Think general vaccines are safe,80%
DO NOT think that general vaccines are safe,42%
