Source:,https://covid19.healthdata.org/kenya?view=resource-use&tab=trend&resource=all_resources
,
Date,Ventilators Needed (Average Estimate)
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0.012072
3/9/2020,0.026633
3/10/2020,0.044199
3/11/2020,0.077941
3/12/2020,0.118622
3/13/2020,0.167645
3/14/2020,0.214601
3/15/2020,0.271042
3/16/2020,0.338778
3/17/2020,0.419929
3/18/2020,0.51697
3/19/2020,0.632775
3/20/2020,0.770661
3/21/2020,0.934408
3/22/2020,1.128239
3/23/2020,1.356755
3/24/2020,1.612229
3/25/2020,1.90946
3/26/2020,2.252417
3/27/2020,2.644236
3/28/2020,3.086725
3/29/2020,3.579852
3/30/2020,4.121229
3/31/2020,4.70571
4/1/2020,5.325183
4/2/2020,5.968596
4/3/2020,6.62239
4/4/2020,7.27132
4/5/2020,7.899635
4/6/2020,8.492342
4/7/2020,9.036353
4/8/2020,9.521509
4/9/2020,9.941154
4/10/2020,10.29223
4/11/2020,10.57493
4/12/2020,10.79227
4/13/2020,10.94975
4/14/2020,11.05518
4/15/2020,11.11844
4/16/2020,11.15137
4/17/2020,11.16756
4/18/2020,11.18212
4/19/2020,11.21118
4/20/2020,11.2713
4/21/2020,11.37861
4/22/2020,11.54815
4/23/2020,11.79332
4/24/2020,12.12533
4/25/2020,12.55268
4/26/2020,13.08068
4/27/2020,13.71116
4/28/2020,14.4422
4/29/2020,15.26799
4/30/2020,16.17889
5/1/2020,17.16174
5/2/2020,18.20065
5/3/2020,19.2777
5/4/2020,20.37362
5/5/2020,21.46851
5/6/2020,22.54258
5/7/2020,23.57664
5/8/2020,24.5527
5/9/2020,25.45459
5/10/2020,26.2688
5/11/2020,26.98529
5/12/2020,27.59816
5/13/2020,28.10618
5/14/2020,28.51287
5/15/2020,28.82616
5/16/2020,29.05777
5/17/2020,29.22268
5/18/2020,29.33844
5/19/2020,29.42483
5/20/2020,29.50356
5/21/2020,29.59776
5/22/2020,29.73138
5/23/2020,29.9284
5/24/2020,30.21179
5/25/2020,30.60232
5/26/2020,31.11742
5/27/2020,31.77028
5/28/2020,32.56939
5/29/2020,33.51821
5/30/2020,34.61499
5/31/2020,35.85233
6/1/2020,37.21689
6/2/2020,38.68926
6/3/2020,40.24432
6/4/2020,41.85225
6/5/2020,43.47982
6/6/2020,45.09233
6/7/2020,46.65596
6/8/2020,48.13975
6/9/2020,49.51696
6/10/2020,50.76558
6/11/2020,51.86857
6/12/2020,52.81366
6/13/2020,53.59323
6/14/2020,54.20418
6/15/2020,54.64825
6/16/2020,54.93221
6/17/2020,55.06808
6/18/2020,55.07297
6/19/2020,54.96854
6/20/2020,54.77989
6/21/2020,54.53447
6/22/2020,54.26117
6/23/2020,53.98955
6/24/2020,53.74949
6/25/2020,53.57125
6/26/2020,53.4857
6/27/2020,53.52428
6/28/2020,53.71878
6/29/2020,54.10115
6/30/2020,54.70294
7/1/2020,55.55432
7/2/2020,56.68324
7/3/2020,58.11505
7/4/2020,59.87219
7/5/2020,61.97382
7/6/2020,64.43548
7/7/2020,67.26859
7/8/2020,70.47961
7/9/2020,74.06906
7/10/2020,78.03035
7/11/2020,82.34878
7/12/2020,87.00106
7/13/2020,91.95556
7/14/2020,97.1733
7/15/2020,102.6092
7/16/2020,108.2137
7/17/2020,113.9343
7/18/2020,119.7166
7/19/2020,125.5057
7/20/2020,131.2463
7/21/2020,136.8842
7/22/2020,142.3679
7/23/2020,147.6495
7/24/2020,152.6863
7/25/2020,157.4417
7/26/2020,161.8858
7/27/2020,165.9953
7/28/2020,169.7533
7/29/2020,173.1482
7/30/2020,176.1728
7/31/2020,178.8231
8/1/2020,181.0978
8/2/2020,182.9973
8/3/2020,184.5232
8/4/2020,185.677
8/5/2020,186.4593
8/6/2020,186.8687
8/7/2020,186.9016
8/8/2020,186.5522
8/9/2020,185.8123
8/10/2020,184.6719
8/11/2020,183.1205
8/12/2020,181.1479
8/13/2020,178.7462
8/14/2020,175.9107
8/15/2020,172.6419
8/16/2020,168.9466
8/17/2020,164.8383
8/18/2020,160.3388
8/19/2020,155.4787
8/20/2020,150.2981
8/21/2020,144.8456
8/22/2020,139.178
8/23/2020,133.3585
8/24/2020,127.4557
8/25/2020,121.5409
8/26/2020,115.6861
8/27/2020,109.9608
8/28/2020,104.4313
8/29/2020,99.15909
8/30/2020,94.20036
8/31/2020,89.60546
9/1/2020,85.41786
9/2/2020,81.6739
9/3/2020,78.40253
9/4/2020,75.62504
9/5/2020,73.35438
9/6/2020,71.59492
9/7/2020,70.34297
9/8/2020,69.58761
9/9/2020,69.31101
9/10/2020,69.48863
9/11/2020,70.08959
9/12/2020,71.07726
9/13/2020,72.40983
9/14/2020,74.04097
9/15/2020,75.92077
9/16/2020,77.99749
9/17/2020,80.21956
9/18/2020,82.53723
9/19/2020,84.90395
9/20/2020,87.27777
9/21/2020,89.62212
9/22/2020,91.90632
9/23/2020,94.10579
9/24/2020,96.2026
9/25/2020,98.18631
9/26/2020,100.0546
9/27/2020,101.8137
9/28/2020,103.478
9/29/2020,105.0694
9/30/2020,106.6157
10/1/2020,108.1498
10/2/2020,109.7077
10/3/2020,111.3271
10/4/2020,113.0473
10/5/2020,114.9081
10/6/2020,116.9492
10/7/2020,119.2082
10/8/2020,121.7204
10/9/2020,124.5161
10/10/2020,127.6172
10/11/2020,131.0364
10/12/2020,134.7813
10/13/2020,138.854
10/14/2020,143.2531
10/15/2020,147.8699
10/16/2020,152.812
10/17/2020,158.0818
10/18/2020,163.5713
10/19/2020,169.3945
10/20/2020,175.5511
10/21/2020,182.148
10/22/2020,189.0779
10/23/2020,196.3414
10/24/2020,203.939
10/25/2020,211.8706
10/26/2020,220.1394
10/27/2020,228.7515
10/28/2020,237.7115
10/29/2020,247.0201
10/30/2020,256.6791
10/31/2020,266.8049
11/1/2020,277.2905
11/2/2020,288.1382
11/3/2020,299.3491
11/4/2020,310.9222
11/5/2020,322.8534
11/6/2020,335.139
11/7/2020,347.7796
11/8/2020,360.7741
11/9/2020,374.1168
11/10/2020,387.8056
11/11/2020,401.839
11/12/2020,416.2091
11/13/2020,430.9084
11/14/2020,445.9351
11/15/2020,461.2852
11/16/2020,476.9491
11/17/2020,492.921
11/18/2020,509.1955
11/19/2020,525.7593
11/20/2020,542.5991
11/21/2020,559.7093
11/22/2020,577.0822
11/23/2020,594.7039
11/24/2020,612.5651
11/25/2020,630.6582
11/26/2020,648.9707
11/27/2020,667.4962
11/28/2020,686.2409
11/29/2020,705.214
11/30/2020,724.4247
12/1/2020,743.8989
12/2/2020,763.6691
12/3/2020,783.7565
12/4/2020,804.1792
12/5/2020,824.9676
12/6/2020,846.1543
12/7/2020,867.7499
12/8/2020,889.7577
12/9/2020,912.1829
12/10/2020,935.0275
12/11/2020,958.3008
12/12/2020,982.0183
12/13/2020,1006.187
12/14/2020,1030.802
12/15/2020,1055.863
12/16/2020,1081.373
12/17/2020,1107.315
12/18/2020,1133.662
12/19/2020,1160.392
12/20/2020,1187.493
12/21/2020,1214.946
12/22/2020,1242.74
12/23/2020,1270.796
12/24/2020,1299.087
12/25/2020,1327.649
12/26/2020,1356.39
12/27/2020,1385.286
12/28/2020,1414.372
12/29/2020,1443.69
12/30/2020,1473.221
12/31/2020,1502.871
1/1/2021,1532.605
1/2/2021,1562.396
1/3/2021,1592.215
1/4/2021,1622.022
1/5/2021,1651.783
1/6/2021,1681.471
1/7/2021,1711.043
1/8/2021,1740.526
1/9/2021,1769.882
1/10/2021,1799.008
1/11/2021,1827.861
1/12/2021,1856.4
1/13/2021,1884.576
1/14/2021,1912.335
1/15/2021,1939.631
1/16/2021,1966.411
1/17/2021,1992.624
1/18/2021,2018.25
1/19/2021,2043.279
1/20/2021,2067.694
1/21/2021,2091.476
1/22/2021,2114.6
1/23/2021,2136.965
1/24/2021,2158.516
1/25/2021,2179.263
1/26/2021,2199.066
1/27/2021,2217.906
1/28/2021,2235.873
1/29/2021,2252.963
1/30/2021,2269.165
1/31/2021,2284.395
2/1/2021,2298.671
