Source: ,"World Health Organization, 2023",,,,
,https://www.who.int/data/gho/data/themes/maternal-and-reproductive-health/maternal-mortality-country-profiles,,,,
World Countries Maternal Mortality Rates 2000-2020,,,,,
This dataset contains information on maternal mortality rates of different countries from 2000-2020.,,,,,
,,,,,
Country,2000,2005,2010,2015,2020
Afghanistan,1346,1103,899,776,620
Albania,14,11,9,7,8
Algeria,159,144,112,89,78
Angola,860,550,367,274,222
Antigua and Barbuda,51,34,31,27,21
Argentina,72,63,55,39,45
Armenia,50,38,33,25,27
Australia,7,5,5,5,3
Austria,6,6,6,6,5
Azerbaijan,56,44,33,29,41
Bahamas,61,74,79,84,77
Bahrain,24,21,20,16,16
Bangladesh,441,376,301,212,123
Barbados,48,43,53,49,39
Belarus,24,11,3,1,1
Belgium,8,7,6,5,5
Belize,86,72,33,49,130
Benin,469,509,598,591,523
Bhutan,305,186,117,74,60
Bolivia (Plurinational State of),284,230,184,165,161
Bosnia and Herzegovina,16,11,8,7,6
Botswana,182,201,156,184,186
Brazil,68,70,64,62,72
Brunei Darussalam,50,46,42,45,44
Bulgaria,22,14,10,8,7
Burkina Faso,506,417,357,295,264
Burundi,874,713,608,514,494
Cabo Verde,125,77,54,47,42
Cambodia,606,382,276,209,218
Cameroon,651,573,527,447,438
Canada,9,11,12,12,11
Central African Republic,1315,1158,1052,909,835
Chad,1366,1241,1303,1125,1063
Chile,33,27,23,16,15
China,58,46,33,26,23
Colombia,93,82,71,70,75
Comoros,456,360,316,261,217
Congo,660,488,389,360,282
Costa Rica,39,31,27,20,22
Côte d'Ivoire,473,540,604,530,480
Croatia,11,9,7,6,5
Cuba,47,43,41,39,39
Cyprus,33,27,27,42,68
Czechia,8,5,4,4,3
Democratic People's Republic of Korea,186,122,130,108,107
Democratic Republic of the Congo,668,635,601,578,547
Denmark,8,7,7,6,5
Djibouti,512,368,274,244,234
Dominican Republic,79,87,92,99,107
Ecuador,120,92,76,66,66
Egypt,79,58,38,24,17
El Salvador,49,35,36,44,43
Equatorial Guinea,427,258,211,201,212
Eritrea,735,546,480,399,322
Estonia,25,13,8,6,5
Eswatini,588,678,672,338,240
Ethiopia,953,880,635,399,267
