Source: ,"Acid Survivors Trust International (ASTI), 2024"
,
"This dataset contains information on the number of acid cases reported in United Kingdom, India, Colombia, Bangladesh, Pakistan, Uganda, Cambodia in 2018.",
,
country,EstimatedAcidAttacksIn2018
India,228
China,20
United States,20
Indonesia,10
Pakistan,80
Nigeria,25
Bangladesh,200
Russia,10
Mexico,15
Philippines,10
Vietnam,50
Iran,20
Germany,5
Thailand,10
United Kingdom,501
Tanzania,5
France,10
South Africa,50
Italy,4
Kenya,40
Myanmar,5
Colombia,100
Uganda,35
Afghanistan,50
Nepal,30
Australia,10
Taiwan,2
Sri Lanka,5
Cambodia,10
Belgium,5
Sweden,3
Israel,5
Laos,20
Hong Kong,3
Bulgaria,2
Ireland,3
Jamaica,2
Gabon,2
