Source:,"Ministry of Health Kenya, 2024",,,,,
Link:,https://www.health.go.ke/sites/default/files/2024-01/Kenya%20Health%20Facility%20Census%20Report%20September%202023.pdf,,,,,
,,,,,,
This dataset contains information on the availability of disability friendly infrastructure by level of care in Kenya hospitals 2024.,,,,,,
,,,,,,
Infrastructure,Level 2 (%),Level 3 (%),Level 4 (%),Level 5 (%),Level 6 (%),Total (%)
Ramps / Lifts,81.7,79,87.8,90.9,100,81.9
Disability-friendly Washrooms,9.1,14.9,34.7,54.5,100,14.8
Disability-friendly Maternity Beds,2.1,7.9,21.7,42.4,80,6.9
Wheelchairs,43.3,62.5,78.7,81.8,100,54.1
