Source:,https://apps.who.int/gho/data/view.main.IPVv?lang=en,,
,,,
Country,Age Group,Year,Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months
Nigeria,15-19 years,2013,8.90%
Nigeria,20-24 years,2013,13%
Nigeria,25-29 years,2013,12.00%
Nigeria,30-34 years,2013,12.80%
Nigeria,35-39 years,2013,10.70%
Nigeria,40-44 years,2013,9.80%
Nigeria,15-49 years,2013,11.00%
Nigeria,45-49 years,2013,7.20%
