Source:,AWJP Analytics | CEMA Africa,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Excess SGBV Cases (After First COVID-19 Case- March 2020),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Total Excess SGBV Cases,,
Nairobi,-129,4,401,164,214,186,1510,632,591,210,440,4347,,
Nyamira,118,260,213,619,602,529,674,615,279,136,385,4308,,
Bungoma,251,362,644,678,506,350,821,675,48,-118,132,4094,,
Kisii,14,391,565,691,607,383,468,457,-144,64,260,3743,,
Nakuru,-47,22,125,402,322,367,429,553,443,528,148,3334,,
Kakamega,201,298,358,500,506,603,693,198,-136,-245,201,2977,,
Turkana,393,310,443,492,247,228,213,185,172,228,162,2681, ,
Siaya,46,86,268,212,81,203,455,559,183,248,349,2648,,
Kiambu,-13,212,129,315,237,217,353,754,15,24,250,2503,,
Machakos,-14,75,302,364,300,438,302,285,-33,147,311,2487,,
Narok,-48,26,76,200,92,93,273,457,626,367,160,2374,,
Muranga,-103,-48,101,27,149,170,298,661,396,467,98,2317,,
Meru,-51,114,100,285,381,356,423,351,85,-56,120,2162,,
Trans Nzoia,18,99,237,305,271,279,344,519,178,-159,-103,1973,,
Migori,-55,85,222,299,496,343,314,345,2,-77,-152,1875,,
Uasin Gishu,47,47,190,61,200,31,297,323,213,83,224,1671,,
Kisumu,-167,-51,-35,309,337,305,232,379,-28,-56,8,1401,,
Kilifi,-43,47,111,225,49,204,326,178,139,104,-36,1342,,
Nyeri,2,58,30,136,37,131,128,239,227,141,209,1335,,
Elgeyo/Marakwet,12,105,183,119,183,165,169,117,54,77,141,1309,,  
Kericho,2,29,307,311,42,122,87,340,-62,-40,130,1268,,
Makueni,-24,8,51,135,77,124,236,196,76,42,275,1215,,
Samburu,15,0,11,9,27,64,135,153,146,354,228,1129,,
Homa Bay,124,162,165,173,-47,210,250,157,-59,-30,108,1086,,
Kitui,-83,-72,80,83,23,-60,39,304,24,55,396,873,,
Mombasa,-16,-54,148,169,60,125,91,128,212,83,-121,840,,
Garissa,1,41,43,61,27,39,30,40,69,42,404,792,,
Nandi,199,48,128,255,339,64,54,151,-112,-170,-8,753,,
Kirinyaga,-110,-107,-31,121,39,14,119,209,117,232,6,716,,
Bomet,7,84,60,58,153,80,51,-45,-28,64,216,693,,
Baringo,-14,44,74,25,159,116,124,175,28,-102,46,685,,
Lamu,19,14,32,37,38,56,87,107,36,124,81,614,,
Kajiado,-103,-74,-28,202,89,-50,204,354,-13,-3,-147,534,,
Embu,-39,84,91,144,71,-36,213,79,-49,-125,-30,446,,
Nyandarua,-1,9,47,78,11,78,98,70,-18,0,11,381,,
Kwale,3,-21,35,20,110,106,85,13,-34,-52,110,374,,
Tana River,-3,39,37,21,11,-4,91,54,-8,16,102,360,,
Tharaka-Nithi,3,37,102,3,158,106,24,-38,27,-47,-25,345,,
Laikipia,-44,-15,18,22,40,21,-2,62,45,43,55,289,,
Busia,-28,124,141,48,199,139,132,170,-265,-312,-237,136,,
Mandera,6,-8,-14,-7,42,45,10,-21,-5,29,28,100,,
Wajir,10,37,-2,16,29,40,-16,-3,-24,-31,7,56,,
Marsabit,25,-19,1,5,12,19,18,1,-5,22,-13,39,,
Taita/Taveta,-18,-30,-28,-23,-22,0,26,181,-7,-55,-22,15,,
Vihiga,13,-20,-6,140,12,49,-9,26,-54,-100,-76,-36,,
West Pokot,36,25,-42,-21,-33,-28,1,-21,25,54,-69,-105,,
Isiolo,-91,-109,-104,-90,-82,-54,-54,-101,-110,-71,-80,-857,,
