Region,Percentage of women circumcised (women who experienced female genital cutting (FGM))
Abia,12.2%
Adamawa,0.0%
Akwa Ibom,10.2%
Anambra,21.4%
Bauchi,10.7%
Bayelsa,6.7%
Benue,5.3%
Borno,2.4%
Cross River,11.9%
Delta,33.7%
Ebonyi,53.2%
Edo,35.5%
Ekiti,57.9%
Enugu,25.3%
FCT Abuja,5.1%
Gombe,0.1%
Imo,61.7%
Jigawa,34.1%
Kaduna,48.8%
Kano,22.2%
Katsina,1.4%
Kebbi,1.6%
Kogi,1.0%
Kwara,46.0%
Lagos,23.7%
Nasarawa,1.8%
Niger,10.5%
Ogun,8.2%
Ondo,43.7%
Osun,45.9%
Oyo,31.1%
Plateau,3.0%
Rivers,9.3%
Sokoto,5.4%
Taraba,3.9%
Yobe,14.2%
Zamfara,5.3%
