"Source: Nigeria Sexual Offender and Service Provider Database, accessed January 2023",
Number of GBV cases reported between 2019 - 7th February 2023,
,
North Central,Number of GBV cases reported
FCT-Abuja,1109
Benue,332
Kogi,25
Kwara,3
Nasarawa,300
Niger,61
Plateau,430
,
North East,
Adamawa,1320
Bauchi,6
Borno,19
Gombe,1
Taraba,26
Yobe,3
,
North West,
Jigawa,1
Kaduna,11
Kano,2
Katsina,1
Kebbi,72
Sokoto,774
Zamfara,32
,
South East,
Abia,14
Anambra,24
Ebonyi,2311
Enugu,44
Imo,16
,
South South,
Akwa Ibom,10
Bayelsa,14
Cross River,1475
Delta,22
Edo,485
Rivers,117
,
South West,
Ekiti,17
Lagos,2585
Ogun,96
Ondo,74
Osun,89
Oyo,552
