Source:,Journalist's Research,,,
,,,,
,,,,
Shelter,Location,Contact Name,Contact Number,Email Address
NAPTIP,"Zone 5, Plot 2028 Dalaba St, Wuse 904101, Abuja",Rose Bassey,08033111068,roseodohofre@gmail.com
WOTCLEF,"Wotclef House 22/24, 34 Crescent, 3rd Avenue Gwarinpa",Imaobong Ladipo Sanusi,08036161672,wotclef@yahoo.com  imabee_2000@yahoo.com
LIGHT HOUSE (MECAHT),"Lugbe, Abuja",Jummai Ali Bulus,08034531574,info_ng@mecaht.org
DOAF,"Plot 680 Shehu Musa Yar' Adua way Jabi, Abuja",Evang Margaret Bargo,08033144943,doafoundation1994@yahoo.com
DOROTHY NJEMANZE,"Suite 3, Datum Plaza, 120 Benjamin Fiscus Street, Gaduwa Estate, Amac LGA",Dorothy Njemanze,08035523954   07013333307,info@dnf.org.ng
SORENID,Benson Okafor Crescent behind Henson College former Noble Height Karu Site,Sir Uche Okafor Mr.Achibong,09037736427   08037426502,uchekafo@yahoo.com
CWEEN,"Utako, Abuja",Tamunobelle,08030463585,cweensfct@gmail.com
SDS OFFICE,"Cyprian Ekwensi Centre for Arts & Culture, Awka Street Area 10, Garki, FCT, Abuja",Asabe Umar,08065373727,
POLICE,"Area 8, Abuja",Nna Ogechi (Com Ahtu),08033206166,ogechi.jose@yahoo.com
CIVIL DEFENCE,"NSCDC FCT COMMAND No.8, Algiers Street by PDP Secretariat, Wuse Zone 5, Abuja",Precious,08037675057,preciousdauta4gem@gmail.com
NOA,Old Secretariat Garki,Mr.Chibuike Okorie,08037892539,princechyke2003@yahoo.com
PROACTIVE GENDER INITIATIVE,"Suite 212, Befs Plaza, 21 Ajose  Adeogun Street, Utako, Abuja",Mr.Orji,07063129066,orji.s@progender.org
CPN,"Gwarinpa, Abuja",Mr.Olusegun Olurunfemi,07036415679,cpnfct18@gmail.com
FCT UNITY CHILDREN HOME,"Along Zuba-Gwagwalada Express Road, Gwako, Gwagwalada",Janet,08136294818,
SOS VILLAGE,SOS Children's Village Gwagwalada,Mr. Mark Nwakaudu,08083999005,soscv.info@sos-nigeria.org  mark.nwakaudu@sos-nigeria.org
