Source:,https://nigeria.un.org/sites/default/files/2020-05/Gender%20Based%20Violence%20in%20Nigeria%20During%20COVID%2019%20Crisis_The%20Shadow%20Pandemic.pdf,,,,
,,,,,
,,,,,
Geopolitical Zone,State,Number of cases per State,,Number of Cases per Geopolitical Zone,
,,March,April,March,April
North East,Adamawa,16, 20,,
,Bauchi,9, 30,,
,,,,50, 115
,Borno,6, 26,,
,Gombe,19, 39,,
North West,Kaduna,6, 23,,
,Katsina,23, 33,52, 87
,Sokoto,23, 31,,
North Central,Benue,30, 52,,
,FCT,5, 31,,
,Nasarawa,5, 20,67, 156
,Niger,2, 8,,
,Plateau,25, 45,,
South East,Abia,25, 46,,
,Anambra,3, 22,,
,,,,36, 92
,Ebonyi,5, 2,,
,Enugu,3, 22,,
South West,Ekiti,25, 51,,
,Lagos,37, 185,,
,Ogun,18, 22,91, 296
,Osun,3, 18,,
,Oyo,8, 20,,
South South,Cross River,8, 12,,
,Rivers,10, 23,18, 35
