Source:,Gender-equality-in-Kenya_Special-report-by-Equileap.pdf,
,,
,,
Rank,Company,Score
1,STANDARD CHARTERED KENYA,63%
2,WPP SCANGROUP,63%
3,SAFARICOM,63%
4,BARCLAYS BANK OF KENYA,61%
5,KENYA AIRWAYS,50%
6,KENYA RE,47%
7,KENGEN,47%
8,STANBIC HOLDINGS,45%
9,KCB GROUP,44%
10,EAST AFRICAN BREWERIES,44%
11,BRITAM HOLDINGS,39%
12,NATIONAL BANK OF KENYA,39%
13,BRITISH AMERICAN TOBACCO KENYA,39%
14,HF GROUP,39%
15,DTB KENYA,36%
16,NAIROBI SECURITIES EXCHANGE,36%
17,TOTAL KENYA,36%
18,HOME AFRIKA,34%
19,LIMURU TEA,34%
20,CENTUM,31%
21,KENYA POWER,31%
22,BAMBURI CEMENT,31%
23,CO-OPERATIVE BANK OF KENYA,28%
24,BOC KENYA,28%
25,EVEREADY EAST AFRICA,28%
26,UNGA GROUP,26%
27,LIBERTY KENYA HOLDINGS,26%
28,CIC GROUP,24%
29,JUBILEE HOLDINGS,24%
30,NIC GROUP,23%
31,SANLAM KENYA,23%
32,TPS EASTERN AFRICA (SERENA HOTELS),23%
33,SAMEER AFRICA,23%
34,TRANSCENTURY,21%
35,EAST AFRICAN CABLES,20%
36,EQUITY GROUP HOLDINGS,18%
37,EAPCC,18%
38,DEACONS EAST AFRICA,18%
39,CARBACID INVESTMENTS,18%
40,FLAME TREE GROUP,16%
41,STANDARD GROUP,16%
42,SASINI,16%
43,ARM CEMENT,16%
44,KAKUZI,15%
45,OLYMPIA CAPITAL HOLDINGS,13%
46,LONGHORN PUBLISHERS,13%
47,MUMIAS SUGAR,13%
48,EXPRESS KENYA,13%
49,NATION MEDIA GROUP,13%
50,CAR & GENERAL,13%
51,EAAGADS,13%
52,I&M BANK GROUP,10%
53,STANLIB FAHARI I-REIT,8%
54,CROWN PAINTS KENYA,8%
55,KURWITU VENTURES,5%
56,WILLIAMSON TEA,3%
57,KAPCHORUA TEA KENYA,3%
58,KENYA ORCHARDS,3%
59,UCHUMI SUPERMARKETS,3%
60,NAIROBI BUSINESS VENTURES,3%
