Source:,WEF_GGGR_2022.pdf (weforum.org),
,,
,,
,,
Country,Regional Ranking,Global Ranking
Rwanda,1,6
Namibia,2,8
South Africa,3,20
Burundi,4,24
Mozambique,5,34
Cape Verde,6,45
Madagascar,7,48
Zimbabwe,8,50
Kenya,9,57
Eswatini,10,58
Uganda,11,61
Zambia,12,62
Tanzania,13,64
Botswana,14,66
Ethiopia,15,74
Liberia,16,78
Lesotho,17,87
Togo,18,91
Cameroon,19,97
Mauritius,20,105
Ghana,21,108
Sierra Leone,22,109
Senegal,23,112
Burkina Faso,24,115
Guinea,25,118
"Gambia, The",26,121
Nigeria,27,123
Angola,28,125
Niger,29,128
Malawi,30,132
Côte d'Ivoire,31,133
Comoros,32,134
Benin,33,138
Mali,34,141
Chad,35,142
"Congo, Democratic Rep.",36,144
