Source:,Communication Authority of Kenya,,
Link:,https://www.ca.go.ke/sites/default/files/2025-08/ICT%20Analytical%20Report%20Based%20on%202023-2024%20Kenya%20Housing%20Survey_0.pdf,,
,,,
This dataset contains information on percentage of mobile phone ownership and usage in Kisiii and Nyamira County in Kenya 2025,,,
,,,
Percentage of mobile phone ownership,,,
County,Male,female,Total
Kisii ,56.5,56.7,56.6
Nyamira,83.4,88.1,85.7
,,,
,,,
,Mobile phone usage,,
County,Male,female,Total
Kisii,59.8,59.5,59.7
Nyamira,84.5,91.4,87.9
,,,
,Internet usage,,
County,Male,female,Total
Kisii,31.1,25.1,28.1
Nyamira,60.4,48.5,54.4
