Source:,https://resourcecentre.savethechildren.net/node/18201/pdf/global_girlhood_report_2020_africa_version_2.pdf,
,,
Region,Additional girls at risk of child marriage,
,1 year,5 years
East Asia and the Pacific,"61,000","305,000"
East and Southern Africa ,"31,600","158,000"
Europe and Central Asia ,"37,200","186,000"
Latin America and the Caribbean ,"73,400","367,000"
Middle East and North Africa ,"14,400","72,000"
South Asia ,"191,200","956,000"
West and Central Africa ,"90,000","450,000"
World ,"498,000","2,490,000"
