Source:,"The Economist Intelligence Unit [EIU], 2020"
Link:,https://onlineviolencewomen.eiu.com/
,
"This dataset contains information on the rate of Technology Facilitated Gender Based Violence among women in the world, 2020",
,
Indicator,Value
Women in EU countries who have experienced intimate partner violence (IPV) in their lifetime,36%
Ever-working women in EU countries who have experienced workplace sexual harassment,34%
Women in EU countries who feel safe walking alone at night,68%
Women surveyed who have been harassed online,Nearly 40%
Women who have witnessed online harassment or violence,85%
Women who said the internet is not a safe place to express opinions,50%
Women who reconsidered posting comments online,32%
Women who reduced their online presence,30%
Women who stopped using an online platform entirely,20%
Women reporting personal experiences with online harassment,38%
Women who knew others in their network targeted online,65%
Women who witnessed online violence against other women,85%
Generation Z and Millennial women who experienced online violence,45%
Generation X and Baby Boomer women who experienced online violence,31%
Women who reported online abuse to the platform,1 in 4 (25%)
Women who reported abuse to an offline protective agency,14%
Women experiencing online abuse who knew their attackers,54%
Women concerned online abuse could escalate offline,Nearly 74%
Women who felt helpless due to lack of action against online violence,6 in 10 (60%)
Women reporting mental health issues due to online violence,35%
Women who said online violence harms wellbeing,92%
