Source:,"The DHS Program - Ghana: DHS, 2008 - Final Report (English)"
,
"Percent distribution of women age 15-49 who have ever experienced physical or sexual violence by
whether they told anyone about the violence and whether they sought help from any source to stop
the violence, according to type of violence and background characteristics",
,
Region,Percentage who sought help from any source
Western,45.4%
Central,52.2%
Greater Accra,31.6%
Volta,55.1%
Eastern,36.7%
Ashanti,41.2%
Brong-Ahafo,32.8%
Northern,19.1%
Upper West,39.9%
Upper East,28.3%
