Year,"Searches Around the ""Intersex"" Topic in Kenya"
Jan-04,0
Feb-04,0
Mar-04,0
Apr-04,0
May-04,0
Jun-04,0
Jul-04,0
Aug-04,0
Sep-04,0
Oct-04,0
Nov-04,0
Dec-04,0
Jan-05,0
Feb-05,0
Mar-05,0
Apr-05,0
May-05,0
Jun-05,0
Jul-05,0
Aug-05,0
Sep-05,0
Oct-05,0
Nov-05,0
Dec-05,0
Jan-06,0
Feb-06,0
Mar-06,0
Apr-06,0
May-06,0
Jun-06,0
Jul-06,0
Aug-06,0
Sep-06,0
Oct-06,0
Nov-06,0
Dec-06,0
Jan-07,0
Feb-07,0
Mar-07,0
Apr-07,0
May-07,0
Jun-07,28
Jul-07,0
Aug-07,0
Sep-07,0
Oct-07,0
Nov-07,60
Dec-07,0
Jan-08,0
Feb-08,0
Mar-08,0
Apr-08,0
May-08,0
Jun-08,0
Jul-08,0
Aug-08,0
Sep-08,0
Oct-08,0
Nov-08,0
Dec-08,0
Jan-09,15
Feb-09,0
Mar-09,0
Apr-09,0
May-09,0
Jun-09,0
Jul-09,0
Aug-09,14
Sep-09,25
Oct-09,11
Nov-09,0
Dec-09,0
Jan-10,0
Feb-10,11
Mar-10,0
Apr-10,0
May-10,23
Jun-10,0
Jul-10,0
Aug-10,8
Sep-10,0
Oct-10,7
Nov-10,17
Dec-10,20
Jan-11,10
Feb-11,24
Mar-11,0
Apr-11,0
May-11,0
Jun-11,4
Jul-11,0
Aug-11,0
Sep-11,0
Oct-11,3
Nov-11,7
Dec-11,0
Jan-12,7
Feb-12,0
Mar-12,0
Apr-12,5
May-12,0
Jun-12,4
Jul-12,4
Aug-12,4
Sep-12,2
Oct-12,2
Nov-12,4
Dec-12,6
Jan-13,3
Feb-13,0
Mar-13,2
Apr-13,4
May-13,6
Jun-13,2
Jul-13,4
Aug-13,6
Sep-13,4
Oct-13,3
Nov-13,3
Dec-13,15
Jan-14,3
Feb-14,4
Mar-14,4
Apr-14,1
May-14,6
Jun-14,0
Jul-14,6
Aug-14,3
Sep-14,2
Oct-14,11
Nov-14,2
Dec-14,2
Jan-15,2
Feb-15,4
Mar-15,11
Apr-15,6
May-15,5
Jun-15,2
Jul-15,6
Aug-15,5
Sep-15,5
Oct-15,7
Nov-15,2
Dec-15,5
Jan-16,1
Feb-16,5
Mar-16,5
Apr-16,4
May-16,3
Jun-16,3
Jul-16,3
Aug-16,14
Sep-16,13
Oct-16,36
Nov-16,47
Dec-16,6
Jan-17,9
Feb-17,7
Mar-17,4
Apr-17,6
May-17,4
Jun-17,5
Jul-17,5
Aug-17,4
Sep-17,5
Oct-17,3
Nov-17,8
Dec-17,2
Jan-18,38
Feb-18,6
Mar-18,7
Apr-18,4
May-18,7
Jun-18,4
Jul-18,12
Aug-18,11
Sep-18,10
Oct-18,7
Nov-18,8
Dec-18,5
Jan-19,7
Feb-19,4
Mar-19,7
Apr-19,23
May-19,21
Jun-19,12
Jul-19,18
Aug-19,100
Sep-19,34
Oct-19,34
Nov-19,65
Dec-19,14
Jan-20,13
Feb-20,16
Mar-20,19
Apr-20,9
May-20,17
Jun-20,16
Jul-20,8
Aug-20,9
Sep-20,9
Oct-20,18
Nov-20,13
Dec-20,10
Jan-21,9
Feb-21,7
Mar-21,11
Apr-21,14
May-21,15
Jun-21,15
Jul-21,15
Aug-21,16
Sep-21,52
Oct-21,41
Nov-21,22
Dec-21,13
Jan-22,13
Feb-22,7
