Source:,"Nigeria Violence Against Children Survey (VACS), 2014.",
,,
Location of first incident of sexual abuse1 among 18–24 year olds who experienced sexual abuse prior to age 18,,
,,
Location,Females,Males
Respondent's home,19.2%,30.6%
Perpetrator's home,50.5%,31.6%
Someone else's home,9.0%,11.5%
on a road,12.1%,5.5%
Market/ Shop,4.0%,2.8%
School,15.1%,24.8%
Field or other natural area,2.4%,3.5%
Other,2.8%,4.5%
,,
,,
Total sum may be greater than 100% because respondents could have idenfied a different locaon for each act of sexual abuse experienced i.e. the locaon of first sexual touching may be different from the locaon of first aempted sex.,,
