"Source: Nigeria Sexual Offender and Service Provider Database, accessed January 2023",
,
Number of Records,1047
Convicted ,191
Still in Court,526
Under investigation,187
Registered Service Providers,93
,
,
"*The service provider register is a collation of governmental, non-government, faith based,
voluntary and charitable associations/ institutions or individuals providing shelter, homes,
counseling, legal, financial, vocational, educational, psycho social, medical or other assistance
to victims and survivors of all forms of domestic and sex related violence, as captured in the
VAPP Act, that are working nationwide in Nigeria.",
