Source: ,"Institut National de la Statistique et de la Démographie, 2022",,,,,,,,,,
,,,,,,,,,,,
This dataset contains information on the Distribution of People with Disabilities by Age Group in Burkina Faso in 2022.,,,,,,,,,,,
,,,,,,,,,,,
Age Group,Visual Impairment,Hearing Impairment,Mobility Impairment,Memory/Concentration Impairment,Self-care Impairment,Communication Impairment,"People with Disabilities (Male, 2+ years)","People with Disabilities (Female, 2+ years)",Total People with Disabilities (2+ years),Total Population (2+ years),Percentage of People with Disabilities
2-4,"1,264","1,460","2,608",N/A,N/A,N/A,"2,127","1,892","4,019","2,134,852",0.2
5-9,"1,954","3,235","2,917","2,751","4,180","5,045","6,654","5,635","12,289","3,279,794",0.4
10-14,"2,114","3,599","2,892","2,638","2,183","4,077","5,756","4,846","10,602","2,687,405",0.4
15-19,"1,799","3,294","2,748","2,442","1,835","3,526","5,012","4,611","9,623","2,148,646",0.4
20-24,"1,415","2,742","2,355","2,269","1,525","3,087","4,253","4,067","8,320","1,717,424",0.5
25-29,"1,375","2,223","2,327","1,998","1,285","2,452","3,660","3,890","7,550","1,499,868",0.5
30-34,"1,513","2,213","2,746","2,239","1,455","2,408","3,981","4,266","8,247","1,322,258",0.6
35-39,"1,599","1,928","3,051","1,926","1,231","1,922","4,068","3,925","7,993","1,074,177",0.7
40-44,"1,947","1,746","3,461","1,795","1,177","1,555","3,988","4,352","8,340","841,502",1
45-49,"2,198","1,520","3,547","1,390","1,011","1,220","3,848","4,137","7,985","632,569",1.3
50-54,"2,973","1,793","4,458","1,630","1,259","1,332","4,400","5,344","9,744","542,047",1.8
55-59,"3,328","1,631","4,655","1,406","1,149",987,"4,504","5,128","9,632","408,417",2.4
60-64,"4,897","2,370","5,818","1,737","1,580","1,232","5,753","6,677","12,430","344,309",3.6
65-69,"5,199","2,209","5,687","1,544","1,616","1,016","5,919","5,822","11,741","231,275",5.1
70-74,"7,528","3,306","7,756","2,286","2,447","1,317","7,591","8,111","15,702","196,255",8
75-79,"5,891","2,629","6,097","1,780","2,060","1,022","5,853","5,968","11,821","107,642",11
80-84,"5,629","2,955","6,527","2,130","2,616","1,175","4,960","6,307","11,267","73,004",15.4
85+,"9,655","5,674","11,276","4,690","5,754","2,597","7,009","10,661","17,670","79,499",22.2
Total,"62,278","46,527","80,926","36,651","34,363","35,970","89,336","95,639","184,975","19,320,943",100
