"Source : Center for Citizens with Disabilities, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Provision of PWD-Friendly Facilities in the Surveyed Federal Ministries and MDAs in Benue,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type of Facility,Ministry of Education,Ministry of Health,Ministry of Women Affairs,Ministry of Information,Ministry of Works & Housing,Ministry of Youths Development,Ministry of Sports,Ministry of Transport,Ministry of Labour,Subsidy Reinvestment & Empowerment Programme,National Directorate of Employment,Ministry of Justice,Sum
Availability of Disability Policy,0,0,0,0,0,1,1,0,1,0,0,0,3
Building with Bungalow Section,0,0,0,0,0,0,0,1,0,0,0,0,1
Building with Storey,1,1,1,1,1,1,1,1,1,1,1,1,12
Constructed with Elevator,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp Available,0,0,0,0,0,1,1,0,1,0,1,1,5
Sidewalk Available,1,1,1,0,1,1,1,0,0,1,0,1,8
Building with Map,0,0,0,0,0,0,0,0,0,0,0,0,0
Instruction in Braille/Tactile/Audio,0,0,0,0,0,0,0,0,0,0,0,0,0
Suitability of Toilet,0,0,0,0,0,0,0,0,0,0,0,0,0
Accessibility of Reception,0,0,0,0,0,0,0,0,1,1,0,0,2
Automates Doors,0,0,0,0,0,0,0,0,0,0,0,0,0
Doors wide enough for Wheelchair,0,0,0,0,0,1,1,0,0,0,0,0,2
Hand Rails on both sides of Stairs,1,1,0,1,1,1,1,0,1,1,1,1,10
Sum,3,3,2,2,3,6,6,2,5,4,3,4,43
Total percentages,23,23,15,15,23,46,46,15,38,31,23,31,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
0= Facility not available as at the time the survey was conducted,,,,,,,,,,,,,
1= Facility was available as at the time the survey was conducted,,,,,,,,,,,,,
