"Source : Center for Citizens with Disabilities, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Provision of PWD-Friendly Facilities in the Surveyed Federal Ministries and MDAs in Kaduna,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type of Facility,Ministry of Education,Ministry of Health,Ministry of Women Affairs,Ministry of Information,Ministry of Works & Housing,Ministry of Youths Development,Ministry of Sports,Ministry of Transport,Ministry of Labour,Subsidy Reinvestment & Empowerment Programme,National Directorate of Employment,Ministry of Justice,Sum
Availability of Disability Policy,0,0,0,0,0,0,0,0,0,0,0,0,0
Building with Bungalow Section,0,0,0,1,1,1,1,1,1,0,1,0,7
Building with Storey,0,0,0,0,0,0,0,0,0,0,0,0,0
Constructed with Elevator,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp Available,0,0,1,0,0,0,0,0,0,0,0,0,1
Sidewalk Available,0,0,0,0,0,0,0,0,0,0,0,0,0
Building with Map,0,0,0,0,0,0,0,0,0,0,0,0,0
Instruction in Braille/Tactile/Audio,0,0,0,0,0,0,0,0,0,0,0,0,0
Suitability of Toilet,0,0,0,0,0,0,0,0,0,0,0,0,0
Accessibility of Reception,0,0,0,0,0,0,0,0,0,0,0,0,0
Automates Doors,0,0,0,0,0,0,0,0,0,0,0,0,0
Doors wide enough for Wheelchair,0,0,0,0,0,0,0,0,0,0,0,0,0
Hand Rails on both sides of Stairs,0,0,0,0,0,0,0,0,0,0,1,0,1
Sum,0,0,1,1,1,1,1,1,1,0,1,0,9
Total percentage,0,0,8,8,8,8,8,8,8,0,8,0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
0= Facility not available as at the time the survey was conducted,,,,,,,,,,,,,
1= Facility was available as at the time the survey was conducted,,,,,,,,,,,,,
