"Source : Center for Citizens with Disabilities, 2015",,,,,,,,
,,,,,,,,
"The data below shows the percentages of infrastructures and policies in  7 states that are PWD friendly in 12 federal Ministries, departments and Agencies.",,,,,,,,
,,,,,,,,
Structures that support PWD,Abuja,Lagos,Benue,Gombe,Kaduna,Rivers ,Enugu,In Total
Availability of Disability Policy,25,83,25,0,0,0,8.3,17.7
Building with Bungalow Section,16.7,8.3,8.3,58.3,58.3,16.7,66.7,29.7
Ramp Available,16.7,58.3,41.7,8.3,8.3,16.7,25,21.9
Sidewalk Available,75,75,66.7,0,0,0,25,30.2
Building with Map,25,33.3,0,0,0,0,16.7,9.4
Instruction in Braille/Tactile/Audio,41.67,0,0,0,0,0,0,5.2
Suitability of Toilet,16.7,8.3,0,0,0,0,8.3,4.1
Accessibility of Reception,58.3,58.3,16.7,0,0,16.7,41.7,23.9
Automates Doors,0,0,0,0,0,0,0,0
Doors wide enough for Wheelchair,100,0,16.7,0,0,0,16.7,16.7
Hand Rails on both sides of Stairs,58.3,41.7,83,8.3,8.3,33.3,33.3,33.3
Storey building with elevator,100,54.6,0,0,0,81.8,28,
