Source,NDHS 2018 Key Findings – National Population Commission,,,
,,,,
,,,,
Year,Percentage of women who experienced physical violence only,Percentage of women who experienced sexual violence only,Percentage of women who experienced physical and sexual violence,Women who experienced physical or sexual violence
2018,24.2%,2.4%,6.7%,33.4%
2013,22.2%,1.8%,5.6%,29.6%
2008,22.4%,1.8%,5.3%,29.5%
,,,,
,,,,
"According to the NDHS in Nigeria in 2018, about a third of all Nigerian women experienced either sexual or physical violence",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"A more recent study by UN Women found that as of September 2021, 68% of Nigerian women have either experienced or know someone who experienced a form of Violence Against Women",,,,
Source:,Measuring the shadow pandemic: Collecting violence against women data through telephone interviews. An evidence-based technical guidance | UN Women Data Hub,,,
